businessid,calls
BZID-1304476260,8
BZID-1304475914,1
BZID-1304414770,2
BZID-1304469945,1
BZID-1304397733,2
BZID-1304396573,1
BZID-1304603714,3
BZID-1304606827,4
BZID-1304377277,4
BZID-1304429783,3
BZID-1304457415,2
BZID-1304434969,5
BZID-1304365779,2
BZID-1304461235,1
BZID-1304371601,3
BZID-1304416013,3
BZID-1304403863,3
BZID-1304398272,13
BZID-1304437234,6
BZID-1304425412,9
BZID-1304462778,1
BZID-1304359370,10
BZID-1304353592,1
BZID-1304462644,3
BZID-1304605194,5
BZID-1304610548,4
BZID-1304358271,2
BZID-1304396229,8
BZID-1304432562,12
BZID-1304469741,4
BZID-1304548823,2
BZID-1304466679,3
BZID-1304430469,4
BZID-1304400012,6
BZID-1304383422,2
BZID-1304414183,3
BZID-1304421646,1
BZID-1304392582,3
BZID-1304393394,1
BZID-1304395363,6
BZID-1304396554,3
BZID-1304421510,1
BZID-1304438921,1
BZID-1304357522,2
BZID-1304391726,2
BZID-1304461286,2
BZID-1304554459,3
BZID-1304398592,4
BZID-1304474189,1
BZID-1304394730,4
BZID-1304375776,2
BZID-1304380443,11
BZID-1304477862,3
BZID-1304464513,4
BZID-1304409839,2
BZID-1304465605,1
BZID-1304400864,9
BZID-1304426998,6
BZID-1304415414,2
BZID-1304370821,12
BZID-1304398371,8
BZID-1304446274,3
BZID-1304406915,2
BZID-1304374889,9
BZID-1304604781,8
BZID-1304598308,6
BZID-1304436119,1
BZID-1304472129,1
BZID-1304546925,5
BZID-1304389782,18
BZID-1304421705,3
BZID-1304599303,10
BZID-1304438933,2
BZID-1304472595,1
BZID-1304442594,1
BZID-1304595585,5
BZID-1304598895,2
BZID-1304465209,6
BZID-1304406616,4
BZID-1304556600,2
BZID-1304361491,1
BZID-1304435585,5
BZID-1304464642,6
BZID-1304443837,2
BZID-1304402144,2
BZID-1304416121,29
BZID-1304438603,23
BZID-1304459725,2
BZID-1304431971,2
BZID-1304394192,1
BZID-1304465424,1
BZID-1304408745,3
BZID-1304426762,2
BZID-1304364353,3
BZID-1304600590,6
BZID-1304460521,2
BZID-1304462398,1
BZID-1304427251,2
BZID-1304408091,4
BZID-1304464145,2
BZID-1304399668,4
BZID-1304393177,1
BZID-1304448006,1
BZID-1304369893,13
BZID-1304460466,8
BZID-1304605155,4
BZID-1304605906,2
BZID-1304480154,2
BZID-1304464079,1
BZID-1304407533,3
BZID-1304373065,2
BZID-1304447095,5
BZID-1304456165,8
BZID-1304418291,2
BZID-1304385346,4
BZID-1304376028,2
BZID-1304425239,5
BZID-1304391324,1
BZID-1304400645,3
BZID-1304478133,4
BZID-1304425039,2
BZID-1304447997,1
BZID-1304569816,10
BZID-1304430568,1
BZID-1304438492,4
BZID-1304419334,3
BZID-1304413807,1
BZID-1304561898,1
BZID-1304463243,1
BZID-1304433451,2
BZID-1304438188,2
BZID-1304476099,1
BZID-1304357661,1
BZID-1304467231,4
BZID-1304401547,3
BZID-1304428474,21
BZID-1304608109,4
BZID-1304440747,4
BZID-1304428660,5
BZID-1304436549,14
BZID-1304396941,5
BZID-1304414816,21
BZID-1304419556,3
BZID-1304475118,1
BZID-1304389349,3
BZID-1304421573,6
BZID-1304431604,19
BZID-1304362986,2
BZID-1304424660,1
BZID-1304382446,2
BZID-1304401316,6
BZID-1304428107,9
BZID-1304377558,4
BZID-1304470807,2
BZID-1304607539,8
BZID-1304448576,3
BZID-1304462803,1
BZID-1304465254,2
BZID-1304399729,2
BZID-1304394950,2
BZID-1304374712,3
BZID-1304402204,3
BZID-1304597757,1
BZID-1304470500,1
BZID-1304460212,2
BZID-1304349411,1
BZID-1304577226,8
BZID-1304365951,5
BZID-1304384871,3
BZID-1304399304,2
BZID-1304437024,22
BZID-1304401141,1
BZID-1304389569,8
BZID-1304546028,3
BZID-1304420424,4
BZID-1304473115,2
BZID-1304447282,4
BZID-1304462345,4
BZID-1304428133,7
BZID-1304423584,1
BZID-1304540289,2
BZID-1304355480,9
BZID-1304385157,12
BZID-1304436899,12
BZID-1304412211,3
BZID-1304396196,7
BZID-1304607334,1
BZID-1304476262,3
BZID-1304349470,1
BZID-1304355795,7
BZID-1304371776,1
BZID-1304456568,9
BZID-1304409499,1
BZID-1304349511,2
BZID-1304461493,2
BZID-1304389693,18
BZID-1304437398,6
BZID-1304405344,1
BZID-1304604430,1
BZID-1304479817,6
BZID-1304461437,2
BZID-1304550097,7
BZID-1304461072,1
BZID-1304408072,2
BZID-1304384115,2
BZID-1304384102,1
BZID-1304415422,1
BZID-1304428324,3
BZID-1304422157,2
BZID-1304466591,2
BZID-1304564449,1
BZID-1304476945,1
BZID-1304420907,2
BZID-1304422666,2
BZID-1304435879,3
BZID-1304456456,1
BZID-1304418951,1
BZID-1304414001,3
BZID-1304397119,1
BZID-1304361536,2
BZID-1304391800,1
BZID-1304436552,4
BZID-1304478691,5
BZID-1304566479,1
BZID-1304423793,2
BZID-1304426519,1
BZID-1304350859,2
BZID-1304435878,2
BZID-1304413028,2
BZID-1304445971,6
BZID-1304605624,7
BZID-1304387729,5
BZID-1304357488,2
BZID-1304576928,2
BZID-1304596111,1
BZID-1304400197,9
BZID-1304357752,1
BZID-1304413962,1
BZID-1304354976,1
BZID-1304393645,4
BZID-1304473358,3
BZID-1304473982,2
BZID-1304398522,2
BZID-1304598660,9
BZID-1304385480,2
BZID-1304393689,1
BZID-1304359615,14
BZID-1304428843,5
BZID-1304461945,3
BZID-1304372047,7
BZID-1304414066,6
BZID-1304473282,4
BZID-1304438710,1
BZID-1304463184,13
BZID-1304576806,4
BZID-1304428291,1
BZID-1304354746,1
BZID-1304439248,5
BZID-1304435939,1
BZID-1304456050,4
BZID-1304418381,3
BZID-1304436127,1
BZID-1304409555,1
BZID-1304415779,4
BZID-1304394801,3
BZID-1304597101,1
BZID-1304408658,1
BZID-1304417074,1
BZID-1304541625,1
BZID-1304431188,4
BZID-1304402543,3
BZID-1304544321,1
BZID-1304540299,6
BZID-1304463287,5
BZID-1304414714,3
BZID-1304421467,7
BZID-1304428386,5
BZID-1304397177,1
BZID-1304450569,1
BZID-1304410071,1
BZID-1304427636,1
BZID-1304373460,3
BZID-1304400983,5
BZID-1304429237,1
