businessid,rating_cnt,avg_rating
BZID-1304434391,1,5
BZID-1304426560,7,5
BZID-1304447553,3,3
BZID-1304429400,9,4
BZID-1304423666,1,5
BZID-1304459819,3,4
BZID-1304466600,1,5
BZID-1304416799,5,4
BZID-1304434106,11,3
BZID-1304419794,1,3
BZID-1304475924,5,3
BZID-1304460926,30,5
BZID-1304406160,5,4
BZID-1304391939,3,5
BZID-1304386942,7,3
BZID-1304357597,39,3
BZID-1304610436,1,4
BZID-1304609904,1,5
BZID-1304596942,41,5
BZID-1304600125,1,5
BZID-1304557915,1,5
BZID-1304556319,8,5
BZID-1304421480,3,4
BZID-1304476695,16,5
BZID-1304464602,2,5
BZID-1304478769,34,5
BZID-1304466920,1,5
BZID-1304475384,1,1
BZID-1304470620,17,4
BZID-1304408574,30,5
BZID-1304414367,12,3
BZID-1304427514,11,5
BZID-1304470032,2,4
BZID-1304410357,1,5
BZID-1304462907,1,4
BZID-1304396220,70,3
BZID-1304396642,1,5
BZID-1304478308,6,5
BZID-1304396950,1,5
BZID-1304385220,2,5
BZID-1304375800,17,3
BZID-1304374579,6,5
BZID-1304464454,1,1
BZID-1304371671,2,5
BZID-1304351482,1,5
BZID-1304608670,1,5
BZID-1304610737,22,3
BZID-1304360412,5,2
BZID-1304605844,64,3
BZID-1304596499,3,4
BZID-1304596634,19,3
BZID-1304598216,14,5
BZID-1304600829,4,5
BZID-1304589300,1,1
BZID-1304577839,11,4
BZID-1304598704,12,5
BZID-1304462017,12,3
BZID-1304434196,1,5
BZID-1304450320,2,5
BZID-1304470788,1,4
BZID-1304427684,2,3
BZID-1304423707,2,5
BZID-1304427013,5,5
BZID-1304424009,3,5
BZID-1304466704,104,5
BZID-1304438170,1,1
BZID-1304427163,12,3
BZID-1304424430,13,4
BZID-1304392562,4,5
BZID-1304384612,22,5
BZID-1304388010,1,1
BZID-1304377844,1,5
BZID-1304379267,2,1
BZID-1304359473,10,5
BZID-1304362818,15,3
BZID-1304351343,5,3
BZID-1304354632,2,5
BZID-1304353366,10,3
BZID-1304604463,9,3
BZID-1304608366,32,5
BZID-1304359360,13,4
BZID-1304610460,2,1
BZID-1304574620,39,5
BZID-1304430632,1,5
BZID-1304478469,16,3
BZID-1304438155,9,4
BZID-1304469459,26,5
BZID-1304473728,14,4
BZID-1304433497,1,5
BZID-1304411947,4,5
BZID-1304426458,1,1
BZID-1304438612,1,5
BZID-1304421092,5,5
BZID-1304398898,22,5
BZID-1304403343,4,5
BZID-1304392852,100,3
BZID-1304469178,7,4
BZID-1304393332,24,4
BZID-1304381148,29,3
BZID-1304381776,1,5
BZID-1304372762,2,4
BZID-1304358081,3,4
BZID-1304350172,2,4
BZID-1304354950,14,3
BZID-1304604025,144,3
BZID-1304598918,8,5
BZID-1304597317,5,5
BZID-1304600463,3,4
BZID-1304562447,1,4
BZID-1304569853,5,3
BZID-1304559697,1,5
BZID-1304560839,1,5
BZID-1304514827,5,4
BZID-1304387445,2,5
BZID-1304461470,1,5
BZID-1304440872,3,3
BZID-1304412655,3,5
BZID-1304477821,5,5
BZID-1304475948,1,3
BZID-1304427246,1,5
BZID-1304407909,1,5
BZID-1304412991,11,5
BZID-1304447623,18,4
BZID-1304477183,4,5
BZID-1304418573,1,5
BZID-1304449039,3,5
BZID-1304411455,10,2
BZID-1304478257,1,1
BZID-1304402688,1,5
BZID-1304393106,1,4
BZID-1304386527,1,5
BZID-1304371288,1,5
BZID-1304397205,3,5
BZID-1304359936,95,3
BZID-1304465536,11,5
BZID-1304352896,6,5
BZID-1304354896,2,5
BZID-1304355464,5,3
BZID-1304607283,1,1
BZID-1304423251,21,5
BZID-1304475434,1,5
BZID-1304400311,2,5
BZID-1304416533,15,3
BZID-1304425092,6,2
BZID-1304400321,2,1
BZID-1304458634,1,5
BZID-1304438718,3,5
BZID-1304424552,20,3
BZID-1304391915,1,2
BZID-1304383287,2,5
BZID-1304384238,1,5
BZID-1304384525,65,3
BZID-1304386074,9,5
BZID-1304407659,1,5
BZID-1304384685,38,3
BZID-1304353261,36,2
BZID-1304611125,1,5
BZID-1304439400,17,5
BZID-1304597259,6,5
BZID-1304598049,17,3
BZID-1304574569,1,1
BZID-1304408807,1,5
BZID-1304375268,1,5
BZID-1304355195,1,5
BZID-1304559926,3,5
BZID-1304465036,76,5
BZID-1304477836,44,5
BZID-1304428681,40,5
BZID-1304417601,93,3
BZID-1304478907,3,3
BZID-1304429090,1,1
BZID-1304461914,3,5
BZID-1304458288,3,5
BZID-1304408991,12,5
BZID-1304421916,2,5
BZID-1304463651,2,5
BZID-1304409632,25,5
BZID-1304424715,8,3
BZID-1304467431,1,5
BZID-1304428273,33,3
BZID-1304398979,1,5
BZID-1304419706,9,5
BZID-1304425265,13,5
BZID-1304405967,1,1
BZID-1304437108,44,5
BZID-1304420307,6,4
BZID-1304397581,1,5
BZID-1304422983,21,4
BZID-1304404074,1,5
BZID-1304375062,1,1
BZID-1304358613,32,4
BZID-1304355247,1,5
BZID-1304607632,12,5
BZID-1304412843,11,5
BZID-1304600963,1,5
BZID-1304600702,2,5
BZID-1304563969,1,5
BZID-1304563771,23,4
BZID-1304565384,1,5
BZID-1304401483,10,5
BZID-1304371937,1,1
BZID-1304414134,4,4
BZID-1304424953,17,4
BZID-1304459864,19,5
BZID-1304425791,6,5
BZID-1304427243,1,5
BZID-1304430427,1,5
BZID-1304466159,1,5
BZID-1304440059,6,3
BZID-1304471706,4,5
BZID-1304400222,5,5
BZID-1304382971,13,5
BZID-1304443630,8,5
BZID-1304388675,3,5
BZID-1304378208,1,5
BZID-1304350787,23,4
BZID-1304606474,62,3
BZID-1304349771,1,4
BZID-1304597219,1,1
BZID-1304600936,3,5
BZID-1304581778,2,4
BZID-1304578421,1,5
BZID-1304563988,3,4
BZID-1304606797,6,5
BZID-1304350508,3,4
BZID-1304569179,1,5
BZID-1304565889,12,5
BZID-1304446698,6,4
BZID-1304411958,3,4
BZID-1304474907,1,5
BZID-1304476660,7,5
BZID-1304462181,36,3
BZID-1304469065,12,5
BZID-1304412555,3,5
BZID-1304477005,14,5
BZID-1304423633,1,5
BZID-1304439226,2,5
BZID-1304418998,1,5
BZID-1304428322,1,5
BZID-1304417777,1,5
BZID-1304414783,6,4
BZID-1304425398,5,3
BZID-1304428479,2,1
BZID-1304422913,1,1
BZID-1304420594,2,2
BZID-1304423511,1,5
BZID-1304404512,2,5
BZID-1304391911,49,3
BZID-1304395098,16,3
BZID-1304385148,2,5
BZID-1304389834,12,5
BZID-1304373762,8,5
BZID-1304367859,1,1
BZID-1304367318,51,5
BZID-1304360363,2,5
BZID-1304363140,1,5
BZID-1304394777,29,5
BZID-1304363567,3,1
BZID-1304575220,29,3
BZID-1304565043,1,5
BZID-1304607991,2,2
BZID-1304549939,5,3
BZID-1304353906,2,5
BZID-1304477819,5,3
BZID-1304460520,5,3
BZID-1304417870,61,5
BZID-1304419194,15,3
BZID-1304474924,1,5
BZID-1304430930,11,2
BZID-1304419433,1,5
BZID-1304445517,7,3
BZID-1304465237,3,2
BZID-1304426136,6,5
BZID-1304457407,10,4
BZID-1304417309,45,5
BZID-1304408830,5,5
BZID-1304429465,21,5
BZID-1304469869,5,5
BZID-1304425831,32,5
BZID-1304412644,2,5
BZID-1304403394,7,1
BZID-1304405000,9,5
BZID-1304392886,3,5
BZID-1304388488,23,5
BZID-1304376616,1,5
BZID-1304376732,1,5
BZID-1304366374,9,5
BZID-1304365211,1,5
BZID-1304416596,89,4
BZID-1304352757,6,3
BZID-1304351305,3,4
BZID-1304351871,16,3
BZID-1304406873,1,5
BZID-1304605541,7,5
BZID-1304610916,25,5
BZID-1304595775,1,5
BZID-1304598518,2,5
BZID-1304601040,2,3
BZID-1304611182,2,5
BZID-1304388436,38,3
BZID-1304557176,1,1
BZID-1304408785,18,5
BZID-1304460848,13,5
BZID-1304447884,1,5
BZID-1304459530,12,4
BZID-1304464046,265,3
BZID-1304435683,72,5
BZID-1304422542,1,5
BZID-1304448469,1,5
BZID-1304480219,9,5
BZID-1304472218,3,4
BZID-1304456664,17,5
BZID-1304391235,47,3
BZID-1304406013,1,5
BZID-1304385089,1,3
BZID-1304384506,6,3
BZID-1304388565,26,2
BZID-1304375856,17,3
BZID-1304381849,25,2
BZID-1304367763,1,5
BZID-1304369625,12,5
BZID-1304372750,5,5
BZID-1304360737,5,5
BZID-1304386083,6,5
BZID-1304381850,1,4
BZID-1304364416,2,5
BZID-1304353023,105,3
BZID-1304352920,8,3
BZID-1304355069,6,3
BZID-1304384385,8,5
BZID-1304608666,4,5
BZID-1304596268,9,4
BZID-1304597629,2,5
BZID-1304423964,1,5
BZID-1304417872,3,1
BZID-1304410338,5,3
BZID-1304477290,1,4
BZID-1304432393,2,5
BZID-1304479900,16,4
BZID-1304412291,25,3
BZID-1304411250,5,5
BZID-1304416948,2,5
BZID-1304461548,2,1
BZID-1304404177,4,2
BZID-1304402721,1,5
BZID-1304474548,6,3
BZID-1304382920,24,4
BZID-1304387786,5,5
BZID-1304386870,1,1
BZID-1304371033,1,5
BZID-1304371672,1,5
BZID-1304360543,1,3
BZID-1304361761,1,3
BZID-1304352537,41,2
BZID-1304607458,4,5
BZID-1304611020,5,3
BZID-1304597870,5,3
BZID-1304574964,1,5
BZID-1304351233,1,5
BZID-1304393402,6,1
BZID-1304567469,1,5
BZID-1304457340,5,2
BZID-1304463817,3,5
BZID-1304443840,1,5
BZID-1304430642,4,3
BZID-1304462277,7,5
BZID-1304410642,26,5
BZID-1304469955,2,5
BZID-1304407673,3,5
BZID-1304457211,1,1
BZID-1304427656,1,5
BZID-1304434686,45,3
BZID-1304477489,1,5
BZID-1304443228,9,4
BZID-1304410180,2,5
BZID-1304387853,36,4
BZID-1304386450,2,2
BZID-1304389075,11,3
BZID-1304363094,1,3
BZID-1304365147,5,3
BZID-1304360585,63,3
BZID-1304356899,5,4
BZID-1304355493,13,4
BZID-1304389838,6,5
BZID-1304606877,2,5
BZID-1304610713,29,3
BZID-1304600095,1,5
BZID-1304578375,5,3
BZID-1304597948,1,5
BZID-1304567322,1,2
BZID-1304464462,27,5
BZID-1304569969,4,5
BZID-1304357087,8,3
BZID-1304557471,1,5
BZID-1304559716,2,1
BZID-1304420531,6,3
BZID-1304434875,2,4
BZID-1304436232,3,5
BZID-1304416518,1,5
BZID-1304474895,1,5
BZID-1304478700,1,5
BZID-1304477745,36,5
BZID-1304473987,1,5
BZID-1304460154,31,5
BZID-1304450813,7,2
BZID-1304471138,2,5
BZID-1304458097,2,1
BZID-1304457777,26,1
BZID-1304462684,15,5
BZID-1304413284,6,3
BZID-1304392183,1,4
BZID-1304376687,8,4
BZID-1304368758,4,5
BZID-1304449974,5,3
BZID-1304361216,33,5
BZID-1304365389,1,5
BZID-1304399714,20,5
BZID-1304424647,1,5
BZID-1304472050,2,5
BZID-1304432054,2,5
BZID-1304408521,5,3
BZID-1304436896,4,1
BZID-1304418235,3,1
BZID-1304468999,4,5
BZID-1304474960,4,5
BZID-1304471770,52,5
BZID-1304454355,1,5
BZID-1304411554,12,5
BZID-1304384742,1,1
BZID-1304376932,23,1
BZID-1304380227,4,5
BZID-1304358632,1,5
BZID-1304352940,1,5
BZID-1304355568,3,5
BZID-1304607782,14,5
BZID-1304604182,3,3
BZID-1304600123,3,4
BZID-1304605787,1,5
BZID-1304569758,1,4
BZID-1304543184,1,4
BZID-1304399340,55,3
BZID-1304417349,17,4
BZID-1304431988,1,2
BZID-1304414459,1,5
BZID-1304424962,32,4
BZID-1304447704,1,5
BZID-1304428695,1,5
BZID-1304460180,10,5
BZID-1304469696,2,3
BZID-1304414893,18,4
BZID-1304411280,87,4
BZID-1304447585,24,5
BZID-1304468707,4,5
BZID-1304400951,14,5
BZID-1304404167,3,4
BZID-1304402815,16,2
BZID-1304402969,11,5
BZID-1304396034,4,5
BZID-1304394255,9,3
BZID-1304389022,1,5
BZID-1304422764,4,5
BZID-1304376865,2,3
BZID-1304367055,1,4
BZID-1304358253,3,5
BZID-1304351933,5,3
BZID-1304355060,8,5
BZID-1304604804,11,5
BZID-1304397219,1,5
BZID-1304610101,14,5
BZID-1304610181,9,3
BZID-1304595455,49,5
BZID-1304365296,2,4
BZID-1304567601,1,1
BZID-1304557064,5,3
BZID-1304563442,1,5
BZID-1304467726,61,5
BZID-1304460818,1,5
BZID-1304479672,5,4
BZID-1304466755,17,4
BZID-1304435974,6,5
BZID-1304448988,6,5
BZID-1304399738,101,3
BZID-1304471185,2,5
BZID-1304464407,16,5
BZID-1304408048,4,3
BZID-1304449779,12,5
BZID-1304477922,20,5
BZID-1304470185,1,5
BZID-1304434580,3,4
BZID-1304444253,13,4
BZID-1304438570,6,3
BZID-1304393914,1,5
BZID-1304396471,1,1
BZID-1304381977,11,4
BZID-1304389739,3,5
BZID-1304376664,6,3
BZID-1304381857,1,5
BZID-1304474187,3,5
BZID-1304370022,25,4
BZID-1304367942,2,5
BZID-1304373370,53,4
BZID-1304401721,45,3
BZID-1304351650,22,4
BZID-1304609743,3,5
BZID-1304595227,4,4
BZID-1304598944,1,1
BZID-1304423856,3,5
BZID-1304399506,42,3
BZID-1304410444,1,4
BZID-1304474519,16,5
BZID-1304417903,10,5
BZID-1304459487,1,5
BZID-1304462124,6,2
BZID-1304433427,51,2
BZID-1304467378,28,5
BZID-1304424401,1,5
BZID-1304478663,34,5
BZID-1304444327,9,5
BZID-1304429171,4,5
BZID-1304466387,20,5
BZID-1304477039,3,4
BZID-1304457539,2,5
BZID-1304414297,1,1
BZID-1304471892,4,5
BZID-1304426301,10,3
BZID-1304457347,25,4
BZID-1304436892,1,5
BZID-1304395323,1,5
BZID-1304394661,7,5
BZID-1304387022,3,5
BZID-1304387052,1,4
BZID-1304375312,12,3
BZID-1304368307,7,5
BZID-1304370030,11,3
BZID-1304389517,1,5
BZID-1304352988,1,5
BZID-1304356848,1,3
BZID-1304606682,3,4
BZID-1304608269,4,3
BZID-1304610220,36,5
BZID-1304601085,7,3
BZID-1304596658,7,5
BZID-1304599518,3,5
BZID-1304590363,18,1
BZID-1304578002,1,5
BZID-1304578440,10,3
