businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304350099,49,42,26
BZID-1304480088,51,34,23
BZID-1304385666,4,4,3
BZID-1304451168,60,57,34
BZID-1304368528,32,28,19
BZID-1304461147,19,10,5
BZID-1304606579,63,56,39
BZID-1304425866,61,57,29
BZID-1304479929,62,55,44
BZID-1304476562,62,59,20
BZID-1304404612,62,60,24
BZID-1304424132,53,48,34
BZID-1304455410,60,54,37
BZID-1304451237,44,39,26
BZID-1304389023,55,55,35
BZID-1304449968,39,34,25
BZID-1304429003,38,36,10
BZID-1304444114,63,62,46
BZID-1304350831,41,27,11
BZID-1304425448,28,17,11
BZID-1304402709,63,63,32
BZID-1304462921,54,48,30
BZID-1304353738,58,52,49
BZID-1304404133,63,59,26
BZID-1304479606,30,26,17
BZID-1304447436,61,56,44
BZID-1304433135,63,60,51
BZID-1304460779,60,40,28
BZID-1304424346,28,23,14
BZID-1304370919,53,52,47
BZID-1304466356,56,51,39
BZID-1304395131,60,49,33
BZID-1304383023,33,20,15
BZID-1304391293,51,47,6
BZID-1304598425,56,56,1
BZID-1304424038,57,57,49
BZID-1304388465,63,63,56
BZID-1304421785,35,32,9
BZID-1304460252,54,53,35
BZID-1304457419,52,42,19
BZID-1304426718,61,60,34
BZID-1304371418,47,44,15
BZID-1304364005,59,55,50
BZID-1304396157,14,13,3
BZID-1304415307,61,60,28
BZID-1304609443,52,52,4
BZID-1304609219,43,37,25
BZID-1304369685,7,7,3
BZID-1304598332,22,20,5
BZID-1304362851,47,41,25
BZID-1304398931,41,37,12
BZID-1304432223,63,60,59
BZID-1304479565,24,19,10
BZID-1304598626,25,18,7
BZID-1304370348,23,21,14
BZID-1304465753,41,27,12
BZID-1304388751,17,14,3
BZID-1304405092,28,27,5
BZID-1304413885,17,14,3
BZID-1304451246,57,49,31
BZID-1304419856,63,61,49
BZID-1304604612,63,63,52
BZID-1304381904,45,39,25
BZID-1304410923,53,53,20
BZID-1304400248,38,31,16
BZID-1304391921,3,3,1
BZID-1304450700,50,46,27
BZID-1304577552,40,36,24
BZID-1304610225,33,31,18
BZID-1304464151,38,26,20
BZID-1304476708,47,30,16
BZID-1304384101,36,36,15
BZID-1304456106,61,60,55
BZID-1304405570,51,43,38
BZID-1304382171,47,39,32
BZID-1304563899,33,30,27
BZID-1304473391,63,60,37
BZID-1304607700,61,61,36
BZID-1304604038,47,46,22
BZID-1304375088,52,51,35
BZID-1304391578,23,20,0
BZID-1304578387,43,39,17
BZID-1304436025,50,32,16
BZID-1304473644,62,62,34
BZID-1304377641,55,53,44
BZID-1304595558,50,27,15
BZID-1304389884,41,32,17
BZID-1304596990,17,7,3
BZID-1304408628,33,25,5
BZID-1304353268,60,53,44
BZID-1304595563,54,50,39
BZID-1304435408,48,45,21
BZID-1304394936,54,54,46
BZID-1304446650,59,58,53
BZID-1304426791,60,60,34
BZID-1304367042,33,29,17
BZID-1304563316,32,25,13
BZID-1304598163,49,43,27
BZID-1304350704,54,48,37
BZID-1304438682,60,56,40
BZID-1304447556,61,53,41
BZID-1304476870,62,55,31
BZID-1304413956,63,63,49
BZID-1304462806,63,60,11
BZID-1304388293,39,24,10
BZID-1304362832,38,35,12
BZID-1304437928,61,61,56
BZID-1304466319,40,29,25
BZID-1304471637,47,33,23
BZID-1304378872,61,55,39
BZID-1304458721,42,40,17
BZID-1304383401,51,49,25
BZID-1304609674,54,51,23
BZID-1304437169,62,55,34
BZID-1304476653,44,25,13
BZID-1304379608,50,50,19
BZID-1304425851,63,61,44
BZID-1304475088,61,43,38
BZID-1304408452,35,27,14
BZID-1304400868,11,9,3
BZID-1304574888,40,33,17
BZID-1304598504,47,44,18
BZID-1304424020,9,7,1
BZID-1304609749,49,46,31
BZID-1304436239,42,18,14
BZID-1304359505,9,8,0
BZID-1304377083,63,58,55
BZID-1304475500,62,62,62
BZID-1304467442,61,57,41
BZID-1304603792,18,16,6
BZID-1304469593,63,55,50
BZID-1304461722,39,33,6
BZID-1304415659,59,49,33
BZID-1304441877,61,61,60
BZID-1304430072,53,53,47
BZID-1304362296,14,11,7
BZID-1304456964,36,18,9
BZID-1304577813,25,23,13
BZID-1304463512,57,41,27
BZID-1304575222,55,52,24
BZID-1304600743,34,31,10
BZID-1304563440,22,22,8
BZID-1304405362,63,62,55
BZID-1304374807,36,26,18
BZID-1304472554,58,53,39
BZID-1304390108,63,61,27
BZID-1304392287,46,43,16
BZID-1304389312,63,62,60
BZID-1304413202,53,53,19
BZID-1304594930,29,26,16
BZID-1304367780,13,10,7
BZID-1304476886,41,36,16
BZID-1304473272,62,60,41
BZID-1304459802,61,60,49
BZID-1304478055,19,13,8
BZID-1304598562,4,3,2
BZID-1304576836,11,9,5
BZID-1304365068,20,11,6
BZID-1304446810,50,45,31
BZID-1304400012,61,60,12
BZID-1304462553,61,52,43
BZID-1304428843,57,41,31
BZID-1304480054,60,41,28
BZID-1304367331,59,58,28
BZID-1304475655,54,47,32
BZID-1304370335,15,10,7
BZID-1304478566,56,50,34
BZID-1304403863,55,54,26
BZID-1304599303,48,44,28
BZID-1304383066,45,39,26
BZID-1304478284,63,63,62
BZID-1304431604,60,55,39
BZID-1304433563,57,35,33
BZID-1304424770,63,54,42
BZID-1304606723,4,4,1
BZID-1304431276,30,19,8
BZID-1304368542,49,49,16
BZID-1304403669,52,30,26
BZID-1304425160,15,12,5
BZID-1304434125,61,54,51
BZID-1304370612,56,53,21
BZID-1304398554,61,51,38
BZID-1304422112,61,59,28
BZID-1304433791,61,50,34
BZID-1304363809,44,27,20
BZID-1304604312,63,63,29
BZID-1304474682,63,62,5
BZID-1304391668,42,37,9
BZID-1304428324,23,19,4
BZID-1304415422,56,53,41
BZID-1304416949,61,61,55
BZID-1304357885,18,18,7
BZID-1304444257,61,59,51
BZID-1304435930,13,9,3
BZID-1304373634,45,20,11
BZID-1304412333,2,1,1
BZID-1304469718,58,51,49
BZID-1304470807,63,63,56
BZID-1304467208,63,60,49
BZID-1304457636,63,59,42
BZID-1304461996,26,13,5
BZID-1304401547,34,29,27
BZID-1304607537,56,51,34
BZID-1304438446,27,18,15
BZID-1304377989,34,28,14
BZID-1304475422,29,12,11
BZID-1304382238,63,63,59
BZID-1304604374,60,58,26
BZID-1304356082,63,57,29
BZID-1304464513,63,62,59
BZID-1304388287,63,63,37
BZID-1304605289,46,46,11
BZID-1304423094,36,30,23
BZID-1304472754,63,59,52
BZID-1304411464,35,29,17
BZID-1304453923,2,0,0
BZID-1304478056,57,48,36
BZID-1304574660,45,41,33
BZID-1304463543,63,58,45
BZID-1304366554,1,1,1
BZID-1304401540,59,54,40
BZID-1304457906,59,53,47
BZID-1304469234,63,62,52
BZID-1304457795,33,15,13
BZID-1304398371,60,58,35
BZID-1304428231,57,56,19
BZID-1304463249,58,47,38
BZID-1304439352,17,7,2
BZID-1304577430,11,11,4
BZID-1304423632,48,37,28
BZID-1304437977,46,30,16
BZID-1304474300,60,56,55
BZID-1304473282,55,43,33
BZID-1304426072,63,63,62
BZID-1304351784,57,50,39
BZID-1304479701,19,12,5
BZID-1304404550,59,58,48
BZID-1304376822,63,62,58
BZID-1304356156,39,27,18
BZID-1304445115,53,34,26
BZID-1304413668,56,53,18
BZID-1304464005,62,57,31
BZID-1304380022,5,5,3
BZID-1304437024,61,60,47
BZID-1304455391,30,26,11
BZID-1304446538,58,56,54
BZID-1304461043,54,44,28
BZID-1304392589,56,53,39
BZID-1304428133,60,52,37
BZID-1304597873,56,55,10
BZID-1304466649,63,57,53
BZID-1304479520,63,63,61
BZID-1304424062,29,23,12
BZID-1304563208,37,37,11
BZID-1304462430,43,35,16
BZID-1304605624,61,54,34
BZID-1304359696,21,16,3
BZID-1304578009,26,24,16
BZID-1304450445,24,24,4
BZID-1304607743,58,57,24
BZID-1304351759,63,63,43
BZID-1304424193,56,40,32
BZID-1304605951,63,62,54
BZID-1304401148,56,51,40
BZID-1304395893,63,63,32
BZID-1304411685,44,40,28
BZID-1304360835,54,46,34
BZID-1304595263,6,5,0
BZID-1304422382,60,52,39
BZID-1304422502,25,19,17
BZID-1304463589,63,61,54
BZID-1304477021,58,38,31
BZID-1304461286,29,18,6
BZID-1304413269,57,56,49
BZID-1304424917,63,61,49
BZID-1304436286,56,46,11
BZID-1304473617,55,53,35
BZID-1304421879,44,35,22
BZID-1304474189,51,41,23
BZID-1304462237,63,62,58
BZID-1304358119,55,54,47
BZID-1304600735,6,6,4
BZID-1304403253,8,1,1
BZID-1304367582,11,8,4
BZID-1304476691,57,48,35
BZID-1304451305,50,49,21
BZID-1304384102,19,15,5
BZID-1304405918,58,55,29
BZID-1304419059,62,59,26
BZID-1304471244,17,9,8
BZID-1304465401,60,59,52
BZID-1304375363,59,58,29
BZID-1304428107,55,49,36
BZID-1304426910,34,28,18
BZID-1304474282,62,56,49
BZID-1304451275,35,15,9
BZID-1304464729,60,59,37
BZID-1304417613,61,59,34
BZID-1304464011,46,42,19
BZID-1304460212,61,48,40
BZID-1304600972,20,15,9
BZID-1304590474,59,59,57
