business_id,sc_points_red,sc_rewards_count
BZID-1304464513,10500.0,1
BZID-1304473358,6600.0,1
BZID-1304428795,1200.0,1
BZID-1304479735,1200.0,1
BZID-1304479797,10500.0,1
BZID-1304470229,3200.0,1
BZID-1304459315,550.0,1
BZID-1304437234,3300.0,2
BZID-1304477244,9000.0,1
BZID-1304475914,3300.0,2
BZID-1304467231,2100.0,1
BZID-1304447608,2700.0,1
BZID-1304424193,1300.0,1
BZID-1304456177,1200.0,1
BZID-1304395762,1200.0,1
BZID-1304471048,3300.0,2
BZID-1304469085,3400.0,2
BZID-1304463946,18000.0,1
BZID-1304478566,1200.0,1
BZID-1304464907,5000.0,1
BZID-1304473982,9000.0,1
BZID-1304468625,550.0,1
BZID-1304461043,1200.0,1
BZID-1304395893,1200.0,1
BZID-1304473282,10500.0,1
BZID-1304469718,3200.0,1
BZID-1304432562,550.0,1
BZID-1304428865,550.0,1
BZID-1304421705,9000.0,1
BZID-1304478754,4500.0,1
BZID-1304423761,3800.0,1
BZID-1304461437,1200.0,1
BZID-1304476371,550.0,1
BZID-1304477525,9000.0,1
BZID-1304464020,4500.0,1
BZID-1304465984,550.0,1
BZID-1304476691,4500.0,1
BZID-1304472754,5000.0,1
BZID-1304470320,2700.0,1
BZID-1304473056,1300.0,1
BZID-1304434125,2700.0,1
BZID-1304428298,1200.0,1
BZID-1304471402,2700.0,1
BZID-1304469998,1300.0,1
BZID-1304457108,2700.0,1
BZID-1304460205,2700.0,1
BZID-1304477794,5000.0,1
BZID-1304399774,1200.0,1
BZID-1304461488,7500.0,1
BZID-1304435201,2250.0,1
BZID-1304471242,5000.0,1
BZID-1304398817,1200.0,1
BZID-1304458913,18000.0,2
BZID-1304470889,13200.0,3
BZID-1304443720,550.0,1
BZID-1304456426,550.0,1
BZID-1304479902,10500.0,1
BZID-1304426614,1300.0,1
BZID-1304443853,2250.0,1
BZID-1304458764,1200.0,1
BZID-1304437217,550.0,1
BZID-1304479056,1200.0,1
BZID-1304445303,1200.0,1
BZID-1304460550,18000.0,1
BZID-1304477610,3500.0,1
BZID-1304460560,16000.0,1
BZID-1304471122,3800.0,1
BZID-1304465982,10500.0,1
BZID-1304390157,550.0,1
BZID-1304464740,1300.0,1
BZID-1304474808,2100.0,1
BZID-1304425994,550.0,1
BZID-1304471370,3800.0,1
BZID-1304416122,1200.0,1
BZID-1304473148,21800.0,2
BZID-1304477522,8000.0,1
BZID-1304459989,2250.0,1
BZID-1304457099,550.0,1
BZID-1304449762,1200.0,1
BZID-1304478231,9000.0,1
BZID-1304466201,17000.0,1
BZID-1304431889,3800.0,1
BZID-1304475442,2100.0,1
BZID-1304434678,11000.0,1
BZID-1304474600,8000.0,1
BZID-1304380412,550.0,1
BZID-1304464974,10500.0,1
BZID-1304473185,10500.0,1
BZID-1304460877,1200.0,1
BZID-1304473367,4500.0,1
BZID-1304428647,2600.0,1
BZID-1304428126,8000.0,1
BZID-1304476653,8000.0,1
BZID-1304477726,9000.0,1
BZID-1304475500,3300.0,2
BZID-1304432223,3800.0,1
BZID-1304456802,2100.0,1
BZID-1304460284,5800.0,2
BZID-1304475360,10500.0,1
BZID-1304477337,1200.0,1
BZID-1304447556,2700.0,1
BZID-1304430072,1200.0,1
BZID-1304464724,9000.0,1
BZID-1304472987,2700.0,1
BZID-1304445251,11000.0,1
BZID-1304463635,2100.0,1
BZID-1304471615,1200.0,1
BZID-1304476870,3200.0,1
BZID-1304395993,550.0,1
