businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304424770,9,5,1015.000000
BZID-1304460062,8,4,60.000000
BZID-1304452213,6,0,0.000000
BZID-1304446538,8,2,400.000000
BZID-1304457636,8,2,45.000000
BZID-1304471310,5,1,15.000000
BZID-1304449747,9,2,30.000000
BZID-1304435098,6,2,1135.000000
BZID-1304474172,6,3,2325.000000
BZID-1304478284,8,3,1235.000000
BZID-1304456687,3,1,80.000000
BZID-1304475655,5,4,165.000000
BZID-1304480137,5,0,0.000000
BZID-1304480054,6,3,45.000000
BZID-1304441036,7,2,45.000000
BZID-1304457329,6,1,85.000000
BZID-1304428795,4,1,5.000000
BZID-1304477525,6,4,575.000000
BZID-1304470807,7,3,1045.000000
BZID-1304473947,4,3,85.000000
BZID-1304436827,6,0,0.000000
BZID-1304469722,4,1,15.000000
BZID-1304477123,4,3,875.000000
BZID-1304476260,4,2,140.000000
BZID-1304478874,11,4,85.000000
BZID-1304463493,4,0,0.000000
BZID-1304476825,6,0,0.000000
BZID-1304473677,3,3,55.000000
BZID-1304439430,4,1,20.000000
BZID-1304435758,6,2,220.000000
BZID-1304431236,8,3,25.000000
BZID-1304472538,7,6,585.000000
BZID-1304474682,6,3,1545.000000
BZID-1304426103,8,2,10.000000
BZID-1304457906,4,3,275.000000
BZID-1304467231,4,1,5.000000
BZID-1304434125,5,4,1430.000000
BZID-1304464729,4,1,80.000000
BZID-1304430228,7,4,300.000000
BZID-1304440960,3,2,10.000000
BZID-1304470132,6,3,795.000000
BZID-1304445971,4,3,375.000000
BZID-1304431188,11,4,255.000000
BZID-1304428882,6,4,360.000000
BZID-1304438710,10,5,565.000000
BZID-1304464555,6,4,580.000000
BZID-1304452937,8,1,10.000000
BZID-1304476955,7,3,55.000000
BZID-1304444257,8,3,55.000000
BZID-1304403669,5,1,200.000000
BZID-1304472912,4,2,80.000000
BZID-1304445115,10,1,5.000000
BZID-1304431276,5,1,20.000000
BZID-1304465401,8,2,525.000000
BZID-1304442652,2,1,5.000000
BZID-1304467095,3,3,560.000000
BZID-1304432116,3,3,490.000000
BZID-1304437024,5,1,200.000000
BZID-1304456568,8,5,170.000000
BZID-1304477244,9,7,2175.000000
BZID-1304430396,7,4,170.000000
BZID-1304474483,1,0,0.000000
BZID-1304433011,7,1,40.000000
BZID-1304465433,8,2,40.000000
BZID-1304474342,8,2,440.000000
BZID-1304474300,8,4,3070.000000
BZID-1304464907,6,0,0.000000
BZID-1304411367,6,0,0.000000
BZID-1304438231,7,4,495.000000
BZID-1304474661,4,3,405.000000
BZID-1304401540,7,4,630.000000
BZID-1304478491,3,2,80.000000
BZID-1304466461,10,8,3150.000000
BZID-1304416579,7,5,1045.000000
BZID-1304472754,4,4,1335.000000
BZID-1304456578,6,6,2175.000000
BZID-1304434304,6,2,80.000000
BZID-1304451156,6,2,85.000000
BZID-1304466687,11,7,490.000000
BZID-1304466539,3,1,20.000000
BZID-1304477768,4,1,5.000000
BZID-1304462795,11,8,1770.000000
BZID-1304464548,7,6,1075.000000
BZID-1304469351,6,1,135.000000
BZID-1304461286,4,2,45.000000
BZID-1304442871,5,0,0.000000
BZID-1304449473,3,1,80.000000
BZID-1304474297,5,3,275.000000
BZID-1304466679,6,1,5.000000
BZID-1304440814,10,2,540.000000
BZID-1304474037,6,3,240.000000
BZID-1304469473,10,4,2165.000000
BZID-1304457324,7,3,275.000000
BZID-1304479520,4,4,3070.000000
BZID-1304424319,5,1,40.000000
BZID-1304467230,11,9,1770.000000
BZID-1304464795,4,0,0.000000
BZID-1304451275,7,4,215.000000
BZID-1304466937,8,3,1330.000000
BZID-1304435600,7,6,475.000000
BZID-1304469741,9,5,2105.000000
BZID-1304480131,5,3,240.000000
BZID-1304463946,7,7,5390.000000
BZID-1304462237,13,11,2490.000000
BZID-1304460212,10,0,0.000000
BZID-1304477631,5,2,25.000000
BZID-1304476866,6,1,270.000000
BZID-1304449704,7,1,80.000000
BZID-1304431323,7,6,460.000000
BZID-1304466079,4,2,50.000000
BZID-1304367582,3,1,20.000000
BZID-1304428763,2,2,1635.000000
BZID-1304479353,2,0,0.000000
BZID-1304478656,2,1,1155.000000
BZID-1304476034,2,1,615.000000
BZID-1304475026,2,2,1050.000000
BZID-1304463589,4,2,870.000000
BZID-1304471414,7,4,640.000000
BZID-1304473056,2,2,1850.000000
BZID-1304469768,2,0,0.000000
BZID-1304479433,4,2,785.000000
BZID-1304398621,2,0,0.000000
BZID-1304441292,3,3,1335.000000
BZID-1304444030,9,5,1145.000000
BZID-1304434678,13,13,4800.000000
BZID-1304471188,5,2,150.000000
BZID-1304431889,10,5,1045.000000
BZID-1304479929,7,2,725.000000
BZID-1304466201,8,2,1450.000000
BZID-1304476870,5,2,1040.000000
BZID-1304470471,6,3,1335.000000
BZID-1304450114,3,1,20.000000
BZID-1304446073,3,1,40.000000
BZID-1304472451,4,3,1155.000000
BZID-1304398856,2,0,0.000000
BZID-1304442371,2,2,1635.000000
BZID-1304428768,5,3,2100.000000
BZID-1304394655,2,0,0.000000
BZID-1304412336,3,2,785.000000
BZID-1304456802,9,5,675.000000
BZID-1304476776,4,1,15.000000
BZID-1304413093,2,2,2080.000000
BZID-1304443551,4,4,2835.000000
BZID-1304477815,2,1,435.000000
BZID-1304475352,4,3,1270.000000
BZID-1304463635,3,2,955.000000
BZID-1304458971,4,2,290.000000
BZID-1304412860,2,1,270.000000
BZID-1304409122,4,4,1175.000000
BZID-1304469601,4,2,25.000000
BZID-1304407142,2,0,0.000000
BZID-1304472337,5,1,710.000000
BZID-1304474901,2,2,1635.000000
BZID-1304410737,2,0,0.000000
BZID-1304476653,3,2,1050.000000
BZID-1304434493,4,0,0.000000
BZID-1304463855,6,3,1675.000000
BZID-1304393774,2,2,1135.000000
BZID-1304427459,3,2,1135.000000
BZID-1304385998,2,1,435.000000
BZID-1304429429,2,2,700.000000
BZID-1304463512,3,1,200.000000
BZID-1304461870,2,0,0.000000
BZID-1304471016,3,3,1655.000000
BZID-1304456106,3,2,730.000000
BZID-1304444114,5,2,540.000000
BZID-1304457212,2,0,0.000000
BZID-1304473185,4,4,640.000000
BZID-1304441877,2,2,1040.000000
BZID-1304438682,2,2,870.000000
BZID-1304386697,2,1,270.000000
BZID-1304432297,6,0,0.000000
BZID-1304379509,2,2,1040.000000
BZID-1304410602,2,2,785.000000
BZID-1304474270,4,2,955.000000
BZID-1304410524,2,2,1135.000000
BZID-1304418909,1,0,0.000000
BZID-1304464420,5,4,1755.000000
BZID-1304380412,2,0,0.000000
BZID-1304447094,8,2,20.000000
BZID-1304422600,2,2,700.000000
BZID-1304460779,3,1,20.000000
BZID-1304458307,2,0,0.000000
BZID-1304408150,2,1,350.000000
BZID-1304475565,2,1,1400.000000
BZID-1304451227,2,1,270.000000
BZID-1304414666,3,3,885.000000
BZID-1304436677,2,0,0.000000
BZID-1304419132,2,2,870.000000
BZID-1404573275,8,2,630.000000
BZID-1304378136,2,0,0.000000
BZID-1304465915,4,3,1240.000000
BZID-1304392606,2,1,435.000000
BZID-1304382252,2,1,350.000000
BZID-1304415307,2,2,540.000000
BZID-1304437836,2,0,0.000000
BZID-1304380488,2,1,350.000000
BZID-1304463326,3,2,1325.000000
BZID-1304434503,3,2,560.000000
BZID-1304449762,6,4,65.000000
BZID-1304472554,3,2,275.000000
BZID-1304410165,5,2,540.000000
BZID-1304417221,3,2,1850.000000
BZID-1304428647,2,1,350.000000
BZID-1304365068,2,0,0.000000
BZID-1304478432,7,3,535.000000
BZID-1304460284,2,2,1325.000000
BZID-1304469236,2,1,710.000000
BZID-1304432465,4,4,830.000000
BZID-1304380359,2,2,705.000000
BZID-1304435560,2,0,0.000000
BZID-1304472987,3,0,0.000000
BZID-1304466465,2,2,620.000000
BZID-1304418425,2,2,955.000000
BZID-1304409706,2,2,785.000000
BZID-1304462843,2,1,435.000000
BZID-1304464974,4,4,2120.000000
BZID-1304447556,2,0,0.000000
BZID-1304391096,2,2,620.000000
BZID-1304472442,3,0,0.000000
BZID-1304469724,2,1,520.000000
BZID-1304433503,4,1,15.000000
BZID-1304450291,2,1,520.000000
BZID-1304473367,8,4,1215.000000
BZID-1304426757,2,2,785.000000
BZID-1304422153,6,4,810.000000
BZID-1304449131,2,1,1400.000000
BZID-1304418592,2,2,550.000000
BZID-1304466356,5,4,1330.000000
BZID-1304477726,11,9,845.000000
BZID-1304434950,2,0,0.000000
BZID-1304473283,2,1,200.000000
BZID-1304470886,6,3,1640.000000
BZID-1304478724,6,4,1050.000000
BZID-1304466811,9,8,475.000000
BZID-1304416298,2,2,470.000000
BZID-1304476871,3,3,1865.000000
BZID-1304463977,2,1,615.000000
BZID-1304406807,2,1,615.000000
BZID-1304464634,3,0,0.000000
BZID-1304439483,2,0,0.000000
BZID-1304439576,2,1,270.000000
BZID-1304425866,5,1,135.000000
BZID-1304423829,2,2,1325.000000
BZID-1304477431,4,1,40.000000
BZID-1304458798,2,2,2310.000000
BZID-1304478794,4,4,385.000000
BZID-1304476562,5,2,1040.000000
BZID-1304457337,2,1,200.000000
BZID-1304405998,2,0,0.000000
BZID-1304466775,2,0,0.000000
BZID-1304450876,8,2,155.000000
BZID-1304437856,2,0,0.000000
BZID-1304435425,2,0,0.000000
BZID-1304460252,2,1,200.000000
BZID-1304473272,4,1,5.000000
BZID-1304407297,2,0,0.000000
BZID-1304402274,3,1,30.000000
BZID-1304474725,5,1,5.000000
BZID-1304463394,1,0,0.000000
BZID-1304467591,5,2,1850.000000
BZID-1304410588,2,1,520.000000
BZID-1304462897,3,1,135.000000
BZID-1304464902,2,0,0.000000
BZID-1304480088,2,2,400.000000
BZID-1304433135,2,2,550.000000
