businessid,total_visits
BZID-1304358206,7
BZID-1304430776,2
BZID-1304447869,2
BZID-1304366260,2
BZID-1304557282,4
BZID-1304429325,1
BZID-1304440052,1
BZID-1304423126,1
BZID-1304361743,1
BZID-1304381184,3
BZID-1304378848,2
BZID-1304389018,2
BZID-1304458082,2
BZID-1304406495,1
BZID-1304416242,3
BZID-1304448908,2
BZID-1304394515,3
BZID-1304416766,1
BZID-1304421830,5
BZID-1304463788,2
BZID-1304410371,5
BZID-1304462546,1
BZID-1304406708,1
BZID-1304385723,1
BZID-1304377431,3
BZID-1304402289,1
BZID-1304431512,6
BZID-1304460391,2
BZID-1304398334,3
BZID-1304407320,1
BZID-1304407426,2
BZID-1304403723,2
BZID-1304462912,6
BZID-1304374350,2
BZID-1304384381,3
BZID-1304379818,5
BZID-1304461116,2
BZID-1304399577,1
BZID-1304605610,4
BZID-1304383630,2
BZID-1304556401,3
BZID-1304415945,4
BZID-1304438777,2
BZID-1304431693,3
BZID-1304412022,2
BZID-1304391498,3
BZID-1304438902,2
BZID-1304457203,7
BZID-1304394347,1
BZID-1304397765,4
BZID-1304378725,1
BZID-1304474607,4
BZID-1304596303,2
BZID-1304600467,2
BZID-1304441630,3
BZID-1304371649,2
BZID-1304463068,2
BZID-1304462565,1
BZID-1304392161,4
BZID-1304371884,1
BZID-1304426426,2
BZID-1304389688,2
BZID-1304414269,1
BZID-1304381039,5
BZID-1304396129,2
BZID-1304429727,4
BZID-1304406316,10
BZID-1304408673,2
BZID-1304369784,1
BZID-1304462737,2
BZID-1304368575,1
BZID-1304380956,2
BZID-1304373871,2
BZID-1304428859,1
BZID-1304399023,3
BZID-1304430848,1
BZID-1304375559,3
BZID-1304475209,4
BZID-1304472375,6
BZID-1304395329,4
BZID-1304439111,1
BZID-1304379600,5
BZID-1304389915,2
BZID-1304460774,4
BZID-1304404438,2
BZID-1304428962,1
BZID-1304362597,6
BZID-1304456702,1
BZID-1304447724,1
BZID-1304416089,3
BZID-1304458552,2
BZID-1304359919,3
BZID-1304399069,1
BZID-1304411819,1
BZID-1304472989,3
BZID-1304475852,2
BZID-1304415698,2
BZID-1304401823,2
BZID-1304410615,4
BZID-1304385577,4
BZID-1304399379,2
BZID-1304363488,3
BZID-1304400145,5
BZID-1304350059,3
BZID-1304416950,1
BZID-1304461378,1
BZID-1304370881,3
BZID-1304606709,4
BZID-1304386334,1
BZID-1304425991,2
BZID-1304402375,2
BZID-1304445368,3
BZID-1304387785,5
BZID-1304422643,3
BZID-1304394145,2
BZID-1304427727,1
BZID-1304382267,1
BZID-1304413440,6
BZID-1304386191,1
BZID-1304364356,1
BZID-1304360242,2
BZID-1304398568,2
BZID-1304383466,3
BZID-1304359574,3
BZID-1304417465,1
BZID-1304450434,6
BZID-1304389402,2
BZID-1304414657,1
BZID-1304424606,1
BZID-1304409038,1
BZID-1304424365,2
BZID-1304399410,1
BZID-1304415051,2
BZID-1304429115,2
BZID-1304393175,2
BZID-1304413319,1
BZID-1304381757,2
BZID-1304375474,3
BZID-1304405198,4
BZID-1304370486,2
BZID-1304420788,1
BZID-1304396708,2
BZID-1304351045,3
BZID-1304357897,1
BZID-1304396902,2
BZID-1304356756,2
BZID-1304610775,3
BZID-1304413596,2
BZID-1304393307,1
BZID-1304388029,1
BZID-1304379612,1
BZID-1304422620,1
BZID-1304353685,2
BZID-1304399954,1
BZID-1304408178,1
BZID-1304438598,5
BZID-1304415301,3
BZID-1304375677,3
BZID-1304462916,2
BZID-1304392486,1
BZID-1304413919,1
BZID-1304479646,2
BZID-1304352754,4
BZID-1304422113,1
BZID-1304435840,1
BZID-1304397361,2
BZID-1304387803,3
BZID-1304448762,1
BZID-1304443999,3
BZID-1304458170,1
BZID-1304450465,2
BZID-1304399298,1
BZID-1304381652,2
BZID-1304415913,4
BZID-1304385953,2
BZID-1304406102,2
BZID-1304466884,1
BZID-1304445157,1
BZID-1304366415,1
BZID-1304449070,3
BZID-1304429482,1
BZID-1304367499,2
BZID-1304461958,1
BZID-1304392950,2
BZID-1304379897,4
BZID-1304395117,1
BZID-1304416066,1
BZID-1304385118,3
BZID-1304387845,3
BZID-1304420265,3
BZID-1304410490,3
BZID-1304350773,1
BZID-1304417144,1
BZID-1304425279,1
BZID-1304418655,2
BZID-1304405275,4
BZID-1304412583,1
BZID-1304352172,2
BZID-1304436751,1
BZID-1304429504,1
BZID-1304448412,3
BZID-1304396134,3
BZID-1304362675,3
BZID-1304415587,1
BZID-1304412338,2
BZID-1304381862,5
BZID-1304568398,4
BZID-1304609021,1
BZID-1304479563,4
BZID-1304416478,2
BZID-1304396299,2
BZID-1304357854,3
BZID-1304378177,1
BZID-1304392575,1
BZID-1304448644,4
BZID-1304361341,2
BZID-1304405332,3
BZID-1304389337,8
BZID-1304387254,2
BZID-1304417771,2
BZID-1304431052,2
BZID-1304450295,2
BZID-1304381850,1
BZID-1304393561,1
BZID-1304379429,3
BZID-1304469187,4
BZID-1304363758,2
BZID-1304394526,2
BZID-1304371740,1
BZID-1304447144,3
BZID-1304373865,1
BZID-1304409565,1
BZID-1304429891,8
BZID-1304395707,2
BZID-1304393361,1
BZID-1304417366,2
BZID-1304409096,3
BZID-1304381475,3
BZID-1304413805,1
BZID-1304363059,1
BZID-1304424584,1
BZID-1304356526,2
BZID-1304374463,4
BZID-1304410573,1
BZID-1304391552,2
BZID-1304375744,1
BZID-1304428574,1
BZID-1304393097,2
BZID-1304361725,2
BZID-1304400311,5
BZID-1304418765,2
BZID-1304420795,3
BZID-1304449950,4
BZID-1304422981,1
BZID-1304444356,2
BZID-1304445567,3
BZID-1304469887,1
BZID-1304472762,1
BZID-1304438552,2
BZID-1304430442,1
BZID-1304359766,3
BZID-1304468717,2
BZID-1304363509,1
BZID-1304401995,2
BZID-1304422379,3
BZID-1304388129,3
BZID-1304377775,2
BZID-1304377517,3
BZID-1304411502,1
BZID-1304423607,1
BZID-1304364662,2
BZID-1304384384,3
BZID-1304435987,1
BZID-1304442718,6
BZID-1304430602,2
BZID-1304417545,1
BZID-1304405488,2
BZID-1304385673,1
BZID-1304418539,1
BZID-1304429457,1
BZID-1304423633,3
BZID-1304359540,1
BZID-1304379293,2
BZID-1304352143,3
BZID-1304439121,1
BZID-1304381395,2
BZID-1304438187,1
BZID-1304355695,4
BZID-1304447744,3
BZID-1304389340,4
BZID-1304462868,3
BZID-1304460735,6
BZID-1304371907,2
BZID-1304418664,1
BZID-1304377959,2
BZID-1304407917,1
BZID-1304418616,1
BZID-1304395403,4
BZID-1304407723,1
BZID-1304411384,3
BZID-1304474230,2
BZID-1304377981,2
BZID-1304471043,3
BZID-1304387210,1
BZID-1304422964,2
BZID-1304445176,3
BZID-1304425254,1
BZID-1304350317,2
BZID-1304425092,1
BZID-1304406061,2
BZID-1304406298,2
BZID-1304457412,2
BZID-1304462678,1
BZID-1304432800,1
BZID-1304391915,1
BZID-1304350494,1
BZID-1304461302,1
BZID-1304413067,1
BZID-1304417872,2
BZID-1304415401,1
BZID-1304408214,1
BZID-1304448520,3
BZID-1304418702,2
BZID-1304392819,2
BZID-1304417153,2
BZID-1304555536,1
BZID-1304416046,3
BZID-1304428097,1
BZID-1304420088,3
BZID-1304429490,2
BZID-1304366517,3
BZID-1304380520,2
BZID-1304398685,1
BZID-1304400455,2
BZID-1304444268,4
BZID-1304430930,1
BZID-1304463219,3
BZID-1304399790,2
BZID-1304399300,2
BZID-1304436668,2
BZID-1304373287,2
BZID-1304395462,1
BZID-1304378273,1
BZID-1304606026,2
BZID-1304578523,1
BZID-1304406269,1
BZID-1304419937,2
BZID-1304391129,4
BZID-1304402295,2
BZID-1304364633,3
BZID-1304417219,1
BZID-1304421063,1
BZID-1304392777,2
BZID-1304608859,2
BZID-1304430856,1
BZID-1304385587,3
BZID-1304363487,3
BZID-1304477118,3
BZID-1304399597,2
BZID-1304449733,1
BZID-1304416688,3
BZID-1304389753,1
BZID-1304407121,4
BZID-1304560623,1
BZID-1304438429,1
BZID-1304436341,1
BZID-1304419681,1
BZID-1304404585,3
BZID-1304408954,1
BZID-1304413797,1
BZID-1304358507,2
BZID-1304560838,1
BZID-1304367791,2
BZID-1304403611,2
BZID-1304395134,4
BZID-1304448181,3
BZID-1304418185,1
BZID-1304436521,3
BZID-1304365245,3
BZID-1304404288,4
BZID-1304386383,2
BZID-1304407411,4
BZID-1304414931,2
BZID-1304368108,3
BZID-1304599301,1
BZID-1304396107,3
BZID-1304363378,3
BZID-1304383480,3
BZID-1304360990,2
BZID-1304382072,1
BZID-1304433955,1
BZID-1304408046,1
BZID-1304466691,2
BZID-1304389887,2
BZID-1304420925,4
BZID-1304386493,2
BZID-1304363567,1
BZID-1304386218,1
BZID-1304358031,4
BZID-1304389552,2
BZID-1304421252,3
BZID-1304448796,1
BZID-1304373818,2
BZID-1304388890,1
BZID-1304383004,3
BZID-1304390362,1
BZID-1304397491,1
BZID-1304413636,3
BZID-1304408305,2
BZID-1304446084,2
BZID-1304417332,2
BZID-1304381406,3
BZID-1304608547,1
BZID-1304367859,1
BZID-1304400222,2
BZID-1304429109,2
BZID-1304359570,2
BZID-1304391900,2
BZID-1304456178,2
BZID-1304399494,2
BZID-1304414751,2
BZID-1304422804,2
BZID-1304476104,3
BZID-1304432703,5
BZID-1304424531,2
BZID-1304381937,4
BZID-1304405854,4
BZID-1304428175,1
BZID-1304604810,1
BZID-1304604763,2
BZID-1304397323,2
BZID-1304419237,3
BZID-1304396160,2
BZID-1304412170,3
BZID-1304376630,2
BZID-1304358819,3
BZID-1304449443,1
BZID-1304413662,2
BZID-1304403997,2
BZID-1304397159,1
BZID-1304465592,2
BZID-1304398765,1
BZID-1304476784,4
BZID-1304444961,3
BZID-1304428255,2
BZID-1304391566,1
BZID-1304415041,1
BZID-1304416278,4
BZID-1304403906,1
BZID-1304371047,2
BZID-1304407331,1
BZID-1304419298,3
BZID-1304609116,3
BZID-1304367532,1
BZID-1304420781,2
BZID-1304383228,4
BZID-1304357886,1
BZID-1304439440,1
BZID-1304358939,3
BZID-1304401165,1
BZID-1304439681,2
BZID-1304399362,1
BZID-1304608472,3
BZID-1304417316,3
BZID-1304395374,1
BZID-1304420178,3
BZID-1304419971,4
BZID-1304351977,2
BZID-1304369913,1
BZID-1304415649,3
BZID-1304396075,2
BZID-1304438825,1
BZID-1304429699,1
BZID-1304603322,1
BZID-1304438869,1
BZID-1304377936,2
BZID-1304477139,2
BZID-1304407515,1
BZID-1304411998,1
BZID-1304448897,2
BZID-1304375019,1
BZID-1304380249,2
BZID-1304428798,2
BZID-1304460755,2
BZID-1304370733,3
BZID-1304404013,4
BZID-1304437861,2
BZID-1304438072,1
BZID-1304436605,1
BZID-1304395180,2
BZID-1304374156,3
BZID-1304450026,1
BZID-1304410601,5
BZID-1304401585,1
BZID-1304424692,1
BZID-1304376339,2
BZID-1304376377,5
BZID-1304384069,2
BZID-1304468612,1
BZID-1304611168,1
BZID-1304431611,1
BZID-1304550091,1
BZID-1304379702,3
BZID-1304405155,3
BZID-1304461989,1
BZID-1304420410,1
BZID-1304407562,7
BZID-1304415797,3
BZID-1304415433,2
BZID-1304406491,1
BZID-1304388496,4
BZID-1304595288,1
BZID-1304425308,1
BZID-1304466157,5
BZID-1304374877,2
BZID-1304596075,2
BZID-1304390096,1
BZID-1304411257,8
BZID-1304410684,2
BZID-1304406451,2
BZID-1304407133,1
BZID-1304595090,9
BZID-1304451318,2
BZID-1304350716,3
BZID-1304405184,3
BZID-1304368803,2
BZID-1304448113,2
BZID-1304412777,2
BZID-1304418556,2
BZID-1304362505,1
BZID-1304413996,1
BZID-1304461810,4
BZID-1304392945,2
BZID-1304392452,1
BZID-1304378674,5
BZID-1304378813,2
BZID-1304404094,4
BZID-1304355002,1
BZID-1304435807,5
BZID-1304374620,1
BZID-1304407736,1
BZID-1304450274,2
BZID-1304375978,1
BZID-1304391499,1
BZID-1304567507,1
BZID-1304595583,1
BZID-1304354029,4
BZID-1304397635,1
BZID-1304365008,4
BZID-1304438950,2
BZID-1304435539,1
BZID-1304376666,3
BZID-1304436475,2
BZID-1304407023,2
BZID-1304393164,3
BZID-1304372808,1
BZID-1304427353,1
BZID-1304462776,1
BZID-1304356174,1
BZID-1304396548,2
BZID-1304392810,2
BZID-1304551858,1
BZID-1304548312,1
BZID-1304350162,1
BZID-1304418545,1
BZID-1304367895,1
BZID-1304387769,2
BZID-1304399254,2
BZID-1304388586,1
BZID-1304596653,1
BZID-1304447850,1
BZID-1304351279,3
BZID-1304374543,1
BZID-1304355409,3
BZID-1304417917,2
BZID-1304378333,5
BZID-1304389882,1
BZID-1304369818,2
BZID-1304456476,3
BZID-1304408037,1
BZID-1304458864,1
BZID-1304415771,1
BZID-1304397731,2
BZID-1304369265,3
BZID-1304400442,3
BZID-1304394102,1
BZID-1304475005,3
BZID-1304412877,1
BZID-1304406910,1
BZID-1304463035,1
BZID-1304381783,1
BZID-1304455946,1
BZID-1304428701,1
BZID-1304418125,2
BZID-1304436854,1
BZID-1304364648,2
BZID-1304359059,3
BZID-1304393057,2
BZID-1304434884,3
BZID-1304417873,1
BZID-1304383388,3
BZID-1304606484,6
BZID-1304407675,1
BZID-1304430939,1
BZID-1304414213,1
BZID-1304424690,2
BZID-1304413884,1
BZID-1304419145,3
BZID-1304472681,3
BZID-1304436917,2
BZID-1304472057,1
BZID-1304381091,3
BZID-1304459065,2
BZID-1304403806,1
BZID-1304395683,1
BZID-1304394139,3
BZID-1304440201,2
BZID-1304457154,3
BZID-1304412010,1
BZID-1304417904,3
BZID-1304364626,1
BZID-1304399566,1
BZID-1304426987,1
BZID-1304398277,1
BZID-1304434077,3
BZID-1304419076,1
BZID-1304456272,4
BZID-1304397441,1
BZID-1304479143,2
BZID-1304382165,1
BZID-1304361993,2
BZID-1304392709,2
BZID-1304474491,4
BZID-1304417843,1
BZID-1304381113,2
BZID-1304416762,1
BZID-1304393288,2
BZID-1304417523,2
BZID-1304422095,3
BZID-1304380426,1
BZID-1304469122,1
BZID-1304378760,5
BZID-1304379230,4
BZID-1304597015,1
BZID-1304418650,3
BZID-1304432209,1
BZID-1304404168,1
BZID-1304426443,2
BZID-1304380467,2
BZID-1304410333,3
BZID-1304356502,2
BZID-1304463274,3
BZID-1304385810,3
BZID-1304378115,3
BZID-1304416578,2
BZID-1304410388,2
BZID-1304366136,3
BZID-1304606244,1
BZID-1304419608,2
BZID-1304457832,6
BZID-1304407819,2
BZID-1304463556,4
BZID-1304597033,2
BZID-1304371224,2
BZID-1304417574,3
BZID-1304595590,1
BZID-1304363532,2
BZID-1304373657,2
BZID-1304438512,2
BZID-1304377990,6
BZID-1304400742,2
BZID-1304380414,3
BZID-1304364347,1
BZID-1304361226,2
BZID-1304401771,1
BZID-1304352661,2
BZID-1304415371,2
BZID-1404383471,1
BZID-1304480168,6
BZID-1304415275,3
BZID-1304597023,7
BZID-1304407814,2
BZID-1304414153,2
BZID-1304355987,4
BZID-1304418248,1
BZID-1304363318,1
BZID-1304377844,5
BZID-1304431402,3
BZID-1304434196,2
BZID-1304426040,1
BZID-1304415946,2
BZID-1304435591,1
BZID-1304394530,3
BZID-1304380642,4
BZID-1304449364,3
BZID-1304467295,2
BZID-1304447355,2
BZID-1304386605,3
BZID-1304408267,1
BZID-1304361118,2
BZID-1304429566,2
BZID-1304410255,3
BZID-1304351041,3
BZID-1304380235,5
BZID-1304374715,2
BZID-1304381460,2
BZID-1304565826,1
BZID-1304419167,1
BZID-1304368725,2
BZID-1304605804,3
BZID-1304407946,2
BZID-1304384922,2
BZID-1304394715,3
BZID-1304382587,2
BZID-1304421530,1
BZID-1304388141,2
BZID-1304373290,2
BZID-1304360921,2
BZID-1304464394,2
BZID-1304450453,1
BZID-1304596445,4
BZID-1304403240,2
BZID-1304350438,2
BZID-1304422782,2
BZID-1304393304,3
BZID-1304419456,1
BZID-1304400199,2
BZID-1304423797,1
BZID-1304420850,4
BZID-1304363403,1
BZID-1304387580,1
BZID-1304435651,1
BZID-1304373916,5
BZID-1304362590,1
BZID-1304385646,2
BZID-1304383567,2
BZID-1304448727,2
BZID-1304396891,1
BZID-1304413683,3
BZID-1304378033,6
BZID-1304371830,4
BZID-1304356278,3
BZID-1304447936,1
BZID-1304419784,1
BZID-1304382944,5
BZID-1304350783,9
