Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.8667,0.9435,0.891,0.8233,0.8558,0.7322,0.7342,0.265
CatBoost Classifier,0.8663,0.9433,0.8839,0.8269,0.8545,0.7311,0.7325,5.019
Gradient Boosting Classifier,0.866,0.9418,0.8958,0.8194,0.8559,0.7312,0.7338,4.33
Extreme Gradient Boosting,0.8653,0.9418,0.8837,0.8253,0.8535,0.7291,0.7306,4.571
Random Forest Classifier,0.8607,0.9369,0.8629,0.8302,0.8462,0.7191,0.7195,1.611
Ada Boost Classifier,0.8582,0.9364,0.8655,0.824,0.8442,0.7142,0.7149,1.002
Extra Trees Classifier,0.8568,0.9306,0.853,0.8293,0.841,0.7107,0.711,1.194
Linear Discriminant Analysis,0.8512,0.925,0.837,0.8294,0.8332,0.6989,0.6989,0.139
Ridge Classifier,0.8506,0.0,0.8353,0.8294,0.8323,0.6976,0.6976,0.049
K Neighbors Classifier,0.8378,0.9028,0.8393,0.8041,0.8213,0.673,0.6736,1.469
Decision Tree Classifier,0.828,0.8107,0.8322,0.7912,0.8112,0.6534,0.6541,0.224
SVM - Linear Kernel,0.804,0.0,0.715,0.8245,0.7612,0.5972,0.6053,0.12
Naive Bayes,0.6618,0.8752,0.9787,0.5693,0.7199,0.3612,0.4528,0.043
Quadratic Discriminant Analysis,0.5614,0.5644,0.5891,0.5717,0.5169,0.131,0.1545,0.112
Dummy Classifier,0.556,0.5,0.0,0.0,0.0,0.0,0.0,0.029
