businessid,calls
BZID-1304390289,1
BZID-1304387898,1
BZID-1304423403,4
BZID-1304406802,4
BZID-1304440224,1
BZID-1304473216,3
BZID-1304427075,4
BZID-1304463609,1
BZID-1304402951,2
BZID-1304397490,7
BZID-1304415598,3
BZID-1304409466,10
BZID-1304412810,8
BZID-1304460746,2
BZID-1304466931,1
BZID-1304365071,2
BZID-1304466595,1
BZID-1304364541,2
BZID-1304445235,4
BZID-1304424155,2
BZID-1304427157,1
BZID-1304460175,1
BZID-1304475494,2
BZID-1304435873,2
BZID-1304444537,2
BZID-1304460711,3
BZID-1304473449,4
BZID-1304419762,2
BZID-1304372426,1
BZID-1304400255,2
BZID-1304455863,2
BZID-1304408115,10
BZID-1304438456,5
BZID-1304417910,1
BZID-1304404172,1
BZID-1304377701,2
BZID-1304409112,2
BZID-1304478686,2
BZID-1304430533,3
BZID-1304450427,1
BZID-1304467342,1
BZID-1304424054,19
BZID-1304476086,4
BZID-1304424309,10
BZID-1304416877,3
BZID-1304375840,6
BZID-1304476927,1
BZID-1304401987,1
BZID-1304392884,6
BZID-1304430848,6
BZID-1304467775,1
BZID-1304445393,1
BZID-1304455241,1
BZID-1304404334,2
BZID-1304392498,2
BZID-1304460217,2
BZID-1304444458,2
BZID-1304470736,6
BZID-1304404324,1
BZID-1304444196,7
BZID-1304407764,4
BZID-1304428962,1
BZID-1304421508,2
BZID-1304431949,7
BZID-1304383996,1
BZID-1304406940,1
BZID-1304378477,2
BZID-1304414482,3
BZID-1304420776,2
BZID-1304418033,1
BZID-1304449191,1
BZID-1304476759,1
BZID-1304396129,4
BZID-1304424228,7
BZID-1304435780,8
BZID-1304473635,4
BZID-1304467628,2
BZID-1304438742,2
BZID-1304393572,1
BZID-1304380652,2
BZID-1304419508,8
BZID-1304390237,3
BZID-1304422663,3
BZID-1304389910,5
BZID-1304400787,10
BZID-1304436329,2
BZID-1304608482,1
BZID-1304430097,3
BZID-1304364841,3
BZID-1304384082,4
BZID-1304396731,2
BZID-1304390243,4
BZID-1304366677,1
BZID-1304472989,1
BZID-1304422005,2
BZID-1304478954,1
BZID-1304407346,3
BZID-1304389621,3
BZID-1304432474,3
BZID-1304403786,7
BZID-1304354492,1
BZID-1304436867,1
BZID-1304461896,3
BZID-1304375559,4
BZID-1304437990,6
BZID-1304381492,4
BZID-1304431394,10
BZID-1304422779,1
BZID-1304399945,4
BZID-1304429482,2
BZID-1304380195,4
BZID-1304356670,3
BZID-1304394421,1
BZID-1304460455,5
BZID-1304398558,1
BZID-1304443757,1
BZID-1304422113,2
BZID-1304477116,1
BZID-1304458209,3
BZID-1304470208,2
BZID-1304377185,4
BZID-1304361649,1
BZID-1304599021,1
BZID-1304477914,4
BZID-1304388982,3
BZID-1304380688,3
BZID-1304476338,2
BZID-1304368568,2
BZID-1304398804,1
BZID-1304427365,5
BZID-1304386380,7
BZID-1304387323,1
BZID-1304459283,1
BZID-1304386590,7
BZID-1304360936,2
BZID-1304367128,3
BZID-1304436273,3
BZID-1304412670,1
BZID-1304415455,4
BZID-1304386473,4
BZID-1304397362,3
BZID-1304431693,1
BZID-1304422962,1
BZID-1304417317,2
BZID-1304419709,4
BZID-1304397487,1
BZID-1304436512,3
BZID-1304399636,3
BZID-1304466783,2
BZID-1304374794,2
BZID-1304428192,2
BZID-1304606209,4
BZID-1304393867,1
BZID-1304376008,4
BZID-1304413672,3
BZID-1304396715,1
BZID-1304411876,2
BZID-1304449015,3
BZID-1304435263,3
BZID-1304397423,3
BZID-1304475609,3
BZID-1304409481,2
BZID-1304387369,4
BZID-1304349225,1
BZID-1304436523,1
BZID-1304424892,3
BZID-1304404146,7
BZID-1304404034,2
BZID-1304467203,1
BZID-1304412301,3
BZID-1304388314,4
BZID-1304438777,2
BZID-1304392950,4
BZID-1304458852,3
BZID-1304364215,3
BZID-1304425162,8
BZID-1304479639,1
BZID-1304370789,3
BZID-1304434897,1
BZID-1304446193,1
BZID-1304421864,11
BZID-1304423097,5
BZID-1304376107,1
BZID-1304473662,3
BZID-1304394437,1
BZID-1304469159,3
BZID-1304392391,1
BZID-1304450774,3
BZID-1304385511,3
BZID-1304392196,2
BZID-1304465257,1
BZID-1304373024,3
BZID-1304437868,1
BZID-1304356036,1
BZID-1304375073,2
BZID-1304480012,2
BZID-1304366842,5
BZID-1304393264,2
BZID-1304407302,7
BZID-1304466778,1
BZID-1304424606,8
BZID-1304450407,5
BZID-1304388792,3
BZID-1304474153,2
BZID-1304420782,5
BZID-1304423894,8
BZID-1304422619,1
BZID-1304358201,4
BZID-1304391620,3
BZID-1304415668,2
BZID-1304462661,5
BZID-1304401065,1
BZID-1304478603,4
BZID-1304480195,1
BZID-1304377672,7
BZID-1304425024,3
BZID-1304407606,2
BZID-1304365014,2
BZID-1304474251,2
BZID-1304370330,7
BZID-1304406122,8
BZID-1304444760,1
BZID-1304471525,1
BZID-1304464632,1
BZID-1304363056,1
BZID-1304357545,2
BZID-1304421811,4
BZID-1304378151,1
BZID-1304472898,1
BZID-1304449971,3
BZID-1304404291,8
BZID-1304403515,2
BZID-1304404977,2
BZID-1304372032,3
BZID-1304387707,2
BZID-1304412765,4
BZID-1304460089,2
BZID-1304357750,1
BZID-1304449125,8
BZID-1304404793,2
BZID-1304472128,1
BZID-1304426420,2
BZID-1304400383,1
BZID-1304464394,2
BZID-1304372427,2
BZID-1304361682,2
BZID-1304446958,1
BZID-1304435379,3
BZID-1304408662,1
BZID-1304424009,3
BZID-1304365604,2
BZID-1304402254,4
BZID-1304419784,5
BZID-1304451211,1
BZID-1304456917,2
BZID-1304353444,4
BZID-1304398790,1
BZID-1304408320,3
BZID-1304388141,2
BZID-1304381776,4
BZID-1304358768,3
BZID-1304399816,10
BZID-1304433282,1
BZID-1304470765,3
BZID-1304407216,2
BZID-1304474051,6
BZID-1304387961,3
BZID-1304386529,2
BZID-1304401767,1
BZID-1304475445,4
BZID-1304361674,5
BZID-1304403871,2
BZID-1304471782,1
BZID-1304361942,4
BZID-1304365590,3
BZID-1304412182,2
BZID-1304363429,3
BZID-1304469821,6
BZID-1304358967,3
BZID-1304350757,2
BZID-1304467727,1
BZID-1304438368,3
BZID-1304402566,3
BZID-1304368776,4
BZID-1304407160,2
BZID-1304416532,4
BZID-1304445229,1
BZID-1304370244,1
BZID-1304446253,7
BZID-1304438595,6
BZID-1304407998,4
BZID-1304436648,10
BZID-1304376180,9
BZID-1304449305,3
BZID-1304388282,1
BZID-1304386976,6
BZID-1304358355,1
BZID-1304420089,4
BZID-1304429537,3
BZID-1304390326,4
BZID-1304370308,8
BZID-1304608700,1
BZID-1304394899,3
BZID-1304400134,3
BZID-1304378629,13
BZID-1304386833,1
BZID-1304385281,3
BZID-1304361169,3
BZID-1304381172,1
BZID-1304364894,2
BZID-1304456002,2
BZID-1304389078,2
BZID-1304371327,5
BZID-1304402433,3
BZID-1304396282,1
BZID-1304424067,1
BZID-1304460350,1
BZID-1304465138,1
BZID-1304428075,1
BZID-1304405987,1
BZID-1304477821,4
BZID-1304423373,7
BZID-1304413717,1
BZID-1304358160,5
BZID-1304417622,2
BZID-1304475801,5
BZID-1304359763,2
BZID-1304469183,1
BZID-1304421844,3
BZID-1304356928,4
BZID-1304463758,5
BZID-1304471098,2
BZID-1304470345,1
BZID-1304395079,1
BZID-1304419712,2
BZID-1304425593,1
BZID-1304426630,3
BZID-1304373008,15
BZID-1304359095,2
BZID-1304462830,1
BZID-1304473963,1
BZID-1304473270,1
BZID-1304447856,5
BZID-1304472126,4
BZID-1304442128,6
BZID-1304478564,5
BZID-1304365113,5
BZID-1304416651,19
BZID-1304403553,3
BZID-1304396143,1
BZID-1304431436,4
BZID-1304438536,6
BZID-1304435921,1
BZID-1304373793,2
BZID-1304390159,6
BZID-1304479505,1
BZID-1304476953,5
BZID-1304438695,2
BZID-1304404461,2
BZID-1304470371,7
BZID-1304387580,2
BZID-1304376355,2
BZID-1304399314,2
BZID-1304451398,4
BZID-1304456829,1
BZID-1304368885,6
BZID-1304421761,3
BZID-1304387904,3
BZID-1304357018,2
BZID-1304411267,2
BZID-1304369274,2
BZID-1304368744,8
BZID-1304356251,1
BZID-1304373106,3
BZID-1304353045,5
BZID-1304608584,3
BZID-1304362364,4
BZID-1304411220,3
BZID-1304424851,1
BZID-1304386796,3
BZID-1304414607,3
BZID-1304455597,1
BZID-1304471559,1
BZID-1304420657,13
BZID-1304445427,2
BZID-1304405337,3
BZID-1304388513,1
BZID-1304439019,1
BZID-1304359105,2
BZID-1304410045,4
BZID-1304466301,2
BZID-1304432056,1
BZID-1304389674,1
BZID-1304465977,1
BZID-1304437874,2
BZID-1304411769,3
BZID-1304478769,3
BZID-1304438340,2
BZID-1304466920,7
BZID-1304375026,2
BZID-1304436084,1
BZID-1304394099,1
BZID-1304385135,3
BZID-1304424923,4
BZID-1304385439,6
BZID-1304451241,1
BZID-1304374650,2
BZID-1304438865,1
BZID-1304373396,1
BZID-1304461792,1
BZID-1304398423,2
BZID-1304464473,1
BZID-1304375464,7
BZID-1304364283,9
BZID-1304433497,3
BZID-1304381008,3
BZID-1304438436,3
BZID-1304393706,1
BZID-1304390886,5
BZID-1304376775,1
BZID-1304369682,1
BZID-1304471694,1
BZID-1304425551,6
BZID-1304413923,1
BZID-1304363156,8
BZID-1304435515,2
BZID-1304461819,4
BZID-1304438656,2
BZID-1304448001,1
BZID-1304451735,1
BZID-1304477246,2
BZID-1304431402,6
BZID-1304609089,1
BZID-1304383398,3
BZID-1304377657,3
BZID-1304431472,1
BZID-1304463983,5
BZID-1304362433,2
BZID-1304389434,1
BZID-1304382240,1
BZID-1304401054,1
BZID-1304351643,2
BZID-1304367589,7
BZID-1304473737,1
BZID-1304434094,2
BZID-1304370552,2
BZID-1304389237,6
BZID-1304452868,1
BZID-1304381464,11
BZID-1304405619,2
BZID-1304465063,1
BZID-1304473308,1
BZID-1304437023,8
BZID-1304374082,3
BZID-1304408457,4
BZID-1304362542,3
BZID-1304420940,3
BZID-1304380421,5
BZID-1304463337,4
BZID-1304350522,1
BZID-1304391700,4
BZID-1304381133,3
BZID-1304400051,5
BZID-1304418519,1
BZID-1304357771,5
BZID-1304473725,1
BZID-1304477183,4
BZID-1304467855,2
BZID-1304595778,2
BZID-1304383266,3
BZID-1304393545,3
BZID-1304443181,1
BZID-1304391819,9
BZID-1304464194,1
BZID-1304470919,1
BZID-1304605160,2
BZID-1304421257,3
BZID-1304421466,3
BZID-1304460994,2
BZID-1304414644,3
BZID-1304446841,3
BZID-1304404763,1
BZID-1304441622,2
BZID-1304437766,5
BZID-1304447966,1
BZID-1304448046,2
BZID-1304440003,9
BZID-1304466949,4
BZID-1304425158,12
BZID-1304392822,2
BZID-1304432477,1
BZID-1304445063,4
BZID-1304374162,6
BZID-1304425135,3
BZID-1304385050,23
BZID-1304392485,4
BZID-1304453860,2
BZID-1304465302,2
BZID-1304415081,2
BZID-1304401311,1
BZID-1304419054,4
BZID-1304364347,3
