businessid,rating_cnt,avg_rating
BZID-1304416714,5,3
BZID-1304478020,2,5
BZID-1304472747,17,4
BZID-1304466166,1,5
BZID-1304461955,16,5
BZID-1304430799,10,3
BZID-1304437977,34,5
BZID-1304478349,1,5
BZID-1304469921,5,5
BZID-1304469768,1,5
BZID-1304409918,9,3
BZID-1304399668,38,3
BZID-1304408471,3,3
BZID-1304466649,5,3
BZID-1304470463,2,3
BZID-1304405943,1,5
BZID-1304404677,9,3
BZID-1304407533,1,5
BZID-1304401540,58,4
BZID-1304376612,2,5
BZID-1304375507,30,4
BZID-1304369801,23,3
BZID-1304358759,9,3
BZID-1304359762,6,5
BZID-1304363402,4,5
BZID-1304351516,1,1
BZID-1304351784,4,4
BZID-1304604374,4,4
BZID-1304605155,1,5
BZID-1304459914,4,5
BZID-1304363645,4,3
BZID-1304351439,4,4
BZID-1304608109,10,5
BZID-1304595485,2,5
BZID-1304376109,1,1
BZID-1304398311,7,3
BZID-1304461466,1,5
BZID-1304436808,44,5
BZID-1304474509,26,5
BZID-1304441740,1,5
BZID-1304429600,16,3
BZID-1304465433,1,5
BZID-1304474890,1,1
BZID-1304457144,44,4
BZID-1304435027,19,5
BZID-1304436827,2,3
BZID-1304396573,1,5
BZID-1304385124,10,3
BZID-1304377558,3,5
BZID-1304474300,1,3
BZID-1304371246,20,3
BZID-1304372708,1,4
BZID-1304358820,1,5
BZID-1304357700,8,5
BZID-1304361763,2,5
BZID-1304364696,1,4
BZID-1304350223,1,5
BZID-1304354550,3,5
BZID-1304357125,4,5
BZID-1304608117,1,2
BZID-1304603494,11,3
BZID-1304411575,13,5
BZID-1304430401,1,5
BZID-1304372225,2,5
BZID-1304383941,8,4
BZID-1304381028,4,5
BZID-1304367331,10,3
BZID-1304444501,1,5
BZID-1304478621,309,4
BZID-1304478284,51,5
BZID-1304437935,14,1
BZID-1304447608,1,5
BZID-1304465659,27,4
BZID-1304462795,49,3
BZID-1304407656,8,2
BZID-1304417239,20,5
BZID-1304434253,4,3
BZID-1304425956,81,4
BZID-1304412084,2,5
BZID-1304401355,1,1
BZID-1304382222,42,5
BZID-1304384102,9,3
BZID-1304380321,49,5
BZID-1304380730,5,1
BZID-1304365825,1,5
BZID-1304369906,4,3
BZID-1304350445,4,3
BZID-1304363893,63,4
BZID-1304353673,2,5
BZID-1304356542,1,5
BZID-1304609081,4,4
BZID-1304611171,5,3
BZID-1304364181,20,3
BZID-1304480077,2,5
BZID-1304604954,10,3
BZID-1304421249,4,5
BZID-1304457495,6,2
BZID-1304475655,53,2
BZID-1304451156,67,5
BZID-1304401166,1,5
BZID-1304399650,5,5
BZID-1304425610,30,5
BZID-1304416949,1,1
BZID-1304472595,2,1
BZID-1304466763,3,5
BZID-1304458892,1,5
BZID-1304461996,8,5
BZID-1304414761,3,5
BZID-1304465424,16,5
BZID-1304438603,5,3
BZID-1304418931,2,5
BZID-1304442893,22,1
BZID-1304408509,10,3
BZID-1304405773,55,5
