businessid,prev_max_order_dt,prev_total_orders,prev_distinct_order_dates
BZID-1304464629,2021-12-17,2132,914
BZID-1304462064,2021-09-23,533,295
BZID-1304478551,2021-12-17,2265,589
BZID-1304392732,2021-12-15,43,35
BZID-1304417315,2021-12-16,70,55
BZID-1304422748,2021-12-13,48,43
BZID-1304397418,2021-09-19,3,2
BZID-1304375786,2021-12-14,24,22
BZID-1304420875,2021-12-06,19,19
BZID-1304422776,2021-12-18,205,30
BZID-1304385800,2021-12-18,119,73
BZID-1304475849,2021-11-19,104,76
BZID-1304474879,2021-12-18,8449,1148
BZID-1304475260,2021-12-03,6266,967
BZID-1304476016,2018-07-15,35,30
BZID-1304472185,2021-12-18,4458,1217
BZID-1304473458,2021-08-01,376,197
BZID-1304475586,2019-08-27,818,505
BZID-1304472398,2021-12-02,3098,1055
BZID-1304474796,2019-03-31,666,122
BZID-1304464204,2021-12-16,874,580
BZID-1304472082,2019-07-15,2630,272
BZID-1304456627,2021-11-16,25,25
BZID-1304465247,2021-12-18,1324,711
BZID-1304469027,2021-12-15,942,528
BZID-1304451243,2021-12-06,62,56
BZID-1304466517,2021-12-18,4133,952
BZID-1304438243,2021-12-06,50,35
BZID-1304479398,2021-12-17,1754,836
BZID-1304464366,2021-12-18,1404,753
BZID-1304463263,2021-12-13,152,108
BZID-1304464247,2021-12-18,1346,739
BZID-1304478692,2021-12-18,3312,1081
BZID-1304470652,2021-12-17,4237,896
BZID-1304476738,2021-12-18,7743,1257
BZID-1304462444,2021-12-18,1131,433
BZID-1304478983,2021-12-18,3593,1048
BZID-1304446748,2021-12-18,1638,385
BZID-1304448496,2021-12-18,3648,545
BZID-1304377671,2021-12-18,407,83
BZID-1304464017,2021-08-21,499,386
BZID-1304465809,2021-12-18,743,224
BZID-1304469963,2021-12-18,1371,825
BZID-1304470048,2021-12-18,4006,828
BZID-1304432620,2021-12-17,598,284
BZID-1304477109,2021-12-16,13410,1315
BZID-1304479560,2021-12-18,1796,853
BZID-1304449737,2021-12-17,868,419
BZID-1304479521,2021-12-18,6242,1359
BZID-1304449202,2021-12-18,3098,514
BZID-1304465716,2021-12-18,1131,411
BZID-1304469917,2021-12-17,693,423
BZID-1304444693,2021-10-21,73,64
BZID-1304451474,2021-07-23,144,108
BZID-1304475774,2021-12-17,2747,690
BZID-1304471089,2021-12-14,377,247
BZID-1304456419,2021-12-18,3135,849
BZID-1304478808,2021-12-14,1311,523
BZID-1304441962,2021-12-07,174,140
BZID-1304479777,2021-12-18,2825,928
BZID-1304477006,2021-12-18,3637,1137
BZID-1304470699,2019-10-07,201,106
BZID-1304476527,2021-12-18,4667,1384
BZID-1304464696,2021-09-20,1901,607
BZID-1304472388,2021-12-17,435,324
BZID-1304473953,2021-12-18,5102,1034
BZID-1304471309,2020-04-05,240,169
BZID-1304476791,2021-12-18,970,633
BZID-1304477262,2021-12-18,2081,982
BZID-1304466548,2021-12-18,1473,510
BZID-1304476688,2021-12-18,2297,873
BZID-1304479226,2020-04-24,1559,493
BZID-1304465658,2021-03-23,2000,621
BZID-1304471866,2020-05-14,712,273
BZID-1304469803,2021-12-18,1510,619
BZID-1304469628,2019-05-05,661,140
BZID-1304471256,2020-01-06,172,103
BZID-1304479755,2021-11-04,5651,1167
BZID-1304478011,2021-12-15,2096,738
BZID-1304466456,2021-12-18,2203,573
BZID-1304470520,2021-12-16,1497,368
BZID-1304474692,2019-06-21,77,29
BZID-1304467623,2021-12-18,2057,650
BZID-1304479258,2021-12-14,4191,1025
BZID-1304465879,2021-12-18,2781,975
BZID-1304471313,2021-04-11,3118,646
BZID-1304457608,2019-04-30,15,12
BZID-1304471190,2021-12-02,209,147
BZID-1304478253,2021-12-17,1111,567
BZID-1304477261,2019-10-10,822,311
BZID-1304472173,2021-12-13,281,172
BZID-1304466351,2020-12-04,268,133
BZID-1304465006,2021-12-18,5019,1135
BZID-1304465981,2021-10-08,3229,644
BZID-1304477808,2021-12-18,1806,748
BZID-1304470382,2021-12-17,3394,965
BZID-1304465887,2021-02-27,524,302
BZID-1304471283,2018-12-22,54,32
BZID-1304479027,2020-03-27,293,204
BZID-1304477703,2021-12-18,2922,908
BZID-1304474518,2021-02-20,355,211
BZID-1304471178,2020-03-24,269,206
BZID-1304456407,2021-12-18,1207,509
BZID-1304474853,2021-12-18,496,366
BZID-1304474952,2021-12-18,3349,976
BZID-1304464730,2021-12-18,394,316
BZID-1304477092,2020-10-08,188,160
BZID-1304474500,2021-12-17,1739,407
BZID-1304480094,2019-04-02,157,113
BZID-1304475279,2021-12-18,3851,1066
BZID-1304470162,2021-06-17,986,374
BZID-1304474017,2021-12-15,520,374
BZID-1304459080,2019-08-24,266,47
BZID-1304469631,2021-12-16,1481,422
BZID-1304471718,2021-12-18,2407,639
BZID-1304471481,2021-12-17,591,420
BZID-1304457690,2021-12-13,539,243
BZID-1304467317,2020-06-01,256,175
BZID-1304465211,2021-12-13,7323,821
BZID-1304470057,2021-12-18,2347,754
BZID-1304479425,2021-05-07,807,551
BZID-1304456192,2021-12-12,368,299
BZID-1304456509,2019-06-26,170,78
BZID-1304465570,2021-12-18,7383,1091
BZID-1304473475,2021-12-17,1067,682
BZID-1304456703,2021-03-31,1275,329
BZID-1304480224,2021-12-18,1674,818
BZID-1304478610,2021-11-11,1179,197
BZID-1304471575,2019-10-28,168,137
BZID-1304469883,2021-12-18,1303,671
BZID-1304470539,2019-12-12,384,223
BZID-1304471504,2021-12-13,216,190
BZID-1304464992,2021-12-18,685,354
BZID-1304465383,2021-12-18,998,566
BZID-1304470890,2021-12-01,299,192
BZID-1304475950,2021-12-17,1438,809
BZID-1304471241,2021-12-16,932,271
BZID-1304467100,2021-12-03,932,221
BZID-1304472751,2021-12-18,1887,809
BZID-1304471154,2021-06-16,1259,284
BZID-1304479844,2021-12-01,137,121
BZID-1304467880,2021-12-18,1317,729
BZID-1304479036,2021-12-18,163,131
BZID-1304472695,2021-12-10,2465,637
BZID-1304465423,2021-12-03,861,461
BZID-1304466052,2021-12-10,1745,325
BZID-1304478142,2020-03-24,171,79
BZID-1304476990,2021-12-03,1009,256
BZID-1304467539,2021-12-18,8864,1277
BZID-1304431517,2021-12-18,322,201
BZID-1304439938,2021-12-18,718,354
BZID-1304448061,2021-12-17,146,125
BZID-1304448554,2021-12-17,354,212
BZID-1304383763,2021-12-18,88,56
BZID-1304450015,2021-12-18,574,332
BZID-1304460757,2021-12-15,468,158
BZID-1304462120,2021-12-15,367,237
BZID-1304464364,2021-12-12,4511,451
BZID-1304471140,2021-12-13,593,278
