businessid,null_search_cnt
BZID-1304349184,2
BZID-1304349187,11
BZID-1304349189,15
BZID-1304349193,3
BZID-1304349194,7
BZID-1304349197,6
BZID-1304349198,3
BZID-1304349201,5
BZID-1304349203,1
BZID-1304349205,1
BZID-1304349209,1
BZID-1304349214,3
BZID-1304349216,3
BZID-1304349223,1
BZID-1304349224,3
BZID-1304349228,3
BZID-1304349231,1
BZID-1304349233,5
BZID-1304349234,3
BZID-1304349235,2
BZID-1304349236,1
BZID-1304349237,1
BZID-1304349238,3
BZID-1304349245,10
BZID-1304349246,1
BZID-1304349251,1
BZID-1304349255,2
BZID-1304349257,6
BZID-1304349260,1
BZID-1304349261,5
BZID-1304349263,1
BZID-1304349264,1
BZID-1304349265,6
BZID-1304349267,14
BZID-1304349268,3
BZID-1304349273,3
BZID-1304349276,8
BZID-1304349278,1
BZID-1304349288,1
BZID-1304349289,1
BZID-1304349292,13
BZID-1304349295,1
BZID-1304349298,1
BZID-1304349299,3
BZID-1304349301,2
BZID-1304349308,1
BZID-1304349311,1
BZID-1304349314,2
BZID-1304349316,1
BZID-1304349317,1
BZID-1304349318,4
BZID-1304349319,1
BZID-1304349321,2
BZID-1304349322,1
BZID-1304349324,9
BZID-1304349326,7
BZID-1304349331,3
BZID-1304349338,7
BZID-1304349339,4
BZID-1304349343,1
BZID-1304349344,1
BZID-1304349346,3
BZID-1304349347,11
BZID-1304349353,20
BZID-1304349354,2
BZID-1304349356,3
BZID-1304349357,2
BZID-1304349360,10
BZID-1304349362,3
BZID-1304349366,2
BZID-1304349373,2
BZID-1304349377,1
BZID-1304349378,6
BZID-1304349381,9
BZID-1304349394,3
BZID-1304349397,3
BZID-1304349400,2
BZID-1304349406,12
BZID-1304349408,32
BZID-1304349409,2
BZID-1304349410,10
BZID-1304349412,1
BZID-1304349415,1
BZID-1304349416,6
BZID-1304349417,12
BZID-1304349422,1
BZID-1304349423,4
BZID-1304349426,1
BZID-1304349427,1
BZID-1304349428,1
BZID-1304349429,1
BZID-1304349430,33
BZID-1304349432,4
BZID-1304349433,1
BZID-1304349438,12
BZID-1304349439,5
BZID-1304349442,3
BZID-1304349446,14
BZID-1304349449,2
BZID-1304349454,3
BZID-1304349455,2
BZID-1304349459,9
BZID-1304349460,3
BZID-1304349462,4
BZID-1304349467,1
BZID-1304349475,50
BZID-1304349484,5
BZID-1304349485,15
BZID-1304349504,23
BZID-1304349505,2
BZID-1304349506,17
BZID-1304349507,1
BZID-1304349511,1
BZID-1304349514,4
BZID-1304349515,5
BZID-1304349516,7
BZID-1304349519,15
BZID-1304349521,1
BZID-1304349524,4
BZID-1304349526,7
BZID-1304349529,2
BZID-1304349530,1
BZID-1304349531,1
BZID-1304349534,1
BZID-1304349535,1
BZID-1304349536,3
BZID-1304349539,4
BZID-1304349540,95
BZID-1304349541,9
BZID-1304349542,7
BZID-1304349545,3
BZID-1304349546,9
BZID-1304349549,1
BZID-1304349550,2
BZID-1304349555,4
BZID-1304349558,1
BZID-1304349561,3
BZID-1304349562,3
BZID-1304349565,11
BZID-1304349566,23
BZID-1304349567,1
BZID-1304349570,1
BZID-1304349571,7
BZID-1304349581,2
BZID-1304349582,3
BZID-1304349583,2
BZID-1304349584,1
BZID-1304349595,7
BZID-1304349596,22
BZID-1304349598,1
BZID-1304349599,5
BZID-1304349601,3
BZID-1304349604,1
BZID-1304349613,26
BZID-1304349614,10
BZID-1304349621,3
BZID-1304349624,2
BZID-1304349626,3
BZID-1304349627,8
BZID-1304349633,5
BZID-1304349635,5
BZID-1304349638,2
BZID-1304349639,3
BZID-1304349642,1
BZID-1304349644,1
BZID-1304349647,4
BZID-1304349653,4
BZID-1304349654,9
BZID-1304349657,1
BZID-1304349660,1
BZID-1304349662,1
BZID-1304349663,22
BZID-1304349668,3
BZID-1304349683,2
BZID-1304349685,2
BZID-1304349692,2
BZID-1304349693,3
BZID-1304349695,11
BZID-1304349696,1
BZID-1304349701,3
BZID-1304349704,12
BZID-1304349705,3
BZID-1304349707,1
BZID-1304349711,3
BZID-1304349719,11
BZID-1304349721,4
BZID-1304349725,1
BZID-1304349728,3
BZID-1304349731,4
BZID-1304349732,6
BZID-1304349737,4
BZID-1304349739,2
BZID-1304349740,2
BZID-1304349742,10
BZID-1304349756,1
BZID-1304349762,5
BZID-1304349776,1
BZID-1304349801,1
BZID-1304349802,5
BZID-1304349807,3
BZID-1304349809,1
BZID-1304349810,7
BZID-1304349813,3
