businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304445280,47,38,28
BZID-1304478052,56,54,44
BZID-1304449712,59,58,50
BZID-1304462661,46,35,29
BZID-1304449720,55,52,46
BZID-1304477744,59,59,58
BZID-1304417227,40,28,12
BZID-1304427332,41,32,21
BZID-1304384875,22,19,5
BZID-1304394945,22,15,5
BZID-1304408933,38,36,27
BZID-1304431078,33,28,11
BZID-1304373024,54,48,32
BZID-1304412595,55,53,44
BZID-1304408613,28,25,6
BZID-1304433214,59,59,38
BZID-1304465466,59,51,48
BZID-1304373408,56,55,35
BZID-1304428822,34,25,7
BZID-1304450407,47,44,27
BZID-1304466884,50,35,24
BZID-1304406920,41,35,19
BZID-1304404812,59,59,50
BZID-1304411283,53,47,25
BZID-1304430292,27,21,11
BZID-1304418860,32,21,8
BZID-1304458375,59,59,52
BZID-1304403786,29,28,6
BZID-1304406802,36,33,12
BZID-1304463501,54,41,35
BZID-1304362662,45,37,17
BZID-1304402956,47,43,25
BZID-1304428909,59,59,37
BZID-1304417259,53,52,40
BZID-1304389640,57,55,34
BZID-1304461247,52,40,33
BZID-1304464405,47,46,33
BZID-1304436329,55,41,15
BZID-1304387369,36,31,14
BZID-1304476655,57,56,36
BZID-1304421847,54,48,46
BZID-1304446170,39,31,22
BZID-1304380496,50,40,27
BZID-1304418227,59,59,51
BZID-1304429315,6,6,2
BZID-1304448314,30,19,13
BZID-1304423894,59,58,28
BZID-1304422962,50,36,26
BZID-1304456357,43,32,30
BZID-1304461896,48,36,15
BZID-1304466582,59,57,52
BZID-1304473922,29,23,15
BZID-1304368266,43,36,18
BZID-1304476146,52,47,24
BZID-1304416877,57,57,55
BZID-1304464476,47,44,39
BZID-1304604783,1,1,1
BZID-1304416291,40,31,16
BZID-1304369358,58,58,41
BZID-1304445631,37,29,22
BZID-1304379153,37,32,18
BZID-1304407794,57,54,48
BZID-1304460044,41,16,13
BZID-1304412808,40,40,11
BZID-1304405226,59,59,53
BZID-1304362911,36,35,21
BZID-1304375869,9,9,2
BZID-1304426052,59,55,46
BZID-1304460584,49,43,30
BZID-1304462362,55,52,47
BZID-1304370979,41,32,15
BZID-1304358477,59,58,33
BZID-1304423097,54,46,23
BZID-1304394421,10,6,4
BZID-1304427128,50,49,21
BZID-1304371351,37,29,9
BZID-1304466783,59,59,58
BZID-1304477576,54,53,28
BZID-1304449603,49,29,22
BZID-1304415653,43,39,29
BZID-1304459088,57,55,53
BZID-1304467386,50,27,21
BZID-1304432567,38,30,24
BZID-1304462713,24,22,6
BZID-1304478240,55,46,30
BZID-1304406698,34,24,13
BZID-1304406225,59,57,49
BZID-1304475609,46,40,21
BZID-1304388040,33,31,25
BZID-1304374481,59,57,49
BZID-1304426680,59,58,57
BZID-1304463318,32,21,11
BZID-1304477289,52,50,1
BZID-1304478908,41,36,24
BZID-1304360749,51,47,36
BZID-1304457423,57,54,44
BZID-1304362964,25,24,15
BZID-1304467408,38,25,21
BZID-1304462496,42,28,19
BZID-1304357479,29,26,13
BZID-1304465332,59,59,47
BZID-1304476338,50,41,35
BZID-1304449981,16,12,10
BZID-1304370973,24,24,9
BZID-1304382606,43,40,4
BZID-1304385573,25,21,13
BZID-1304429325,41,37,31
BZID-1304397991,45,35,24
BZID-1304421040,26,23,15
BZID-1304433441,31,26,3
BZID-1304386590,21,19,12
BZID-1304430230,9,9,5
BZID-1304472524,58,58,49
BZID-1304407465,48,46,31
BZID-1304420635,42,31,10
BZID-1304464471,59,58,57
BZID-1304404160,37,31,16
BZID-1304473662,43,40,22
BZID-1304474607,21,13,3
BZID-1304459589,55,50,28
BZID-1304449191,12,11,2
BZID-1304435255,55,51,30
BZID-1304385967,28,19,15
BZID-1304384386,34,27,10
BZID-1304471397,59,54,51
BZID-1304421422,34,30,18
BZID-1304400317,20,17,4
BZID-1304369555,59,59,42
BZID-1304361826,53,51,22
BZID-1304405681,59,59,42
BZID-1304372086,33,30,18
BZID-1304469237,50,50,28
BZID-1304384818,31,19,6
BZID-1304416553,42,40,17
BZID-1304461378,14,13,8
BZID-1304411460,48,44,31
BZID-1304460551,52,50,31
BZID-1304470489,39,30,23
BZID-1304361039,27,24,9
BZID-1304467746,53,49,37
BZID-1304425367,57,57,48
BZID-1304376975,52,50,36
BZID-1304409572,59,59,22
BZID-1304461163,59,59,55
BZID-1304417656,41,35,19
BZID-1304475751,53,50,39
BZID-1304388714,59,50,34
BZID-1304438789,59,59,45
BZID-1304458410,48,40,21
BZID-1304441431,28,20,14
BZID-1304435316,56,52,51
BZID-1304432107,59,55,43
BZID-1304429299,53,40,31
BZID-1304444968,58,57,55
BZID-1304380301,36,35,2
BZID-1304403442,59,59,52
BZID-1304379612,10,4,0
BZID-1304387785,4,4,0
BZID-1304363508,10,5,6
BZID-1304359727,28,21,15
BZID-1304461096,50,45,26
BZID-1304464372,59,58,57
BZID-1304431223,57,52,42
BZID-1304417044,58,57,46
BZID-1304422519,58,47,34
BZID-1304389329,20,18,10
BZID-1304449681,59,58,55
BZID-1304416029,48,29,17
BZID-1304382417,39,29,23
BZID-1304406786,57,56,32
BZID-1304392575,38,29,13
BZID-1304367453,56,55,29
BZID-1304463765,58,57,42
BZID-1304370101,42,20,13
BZID-1304456949,54,49,36
BZID-1304480036,58,55,47
BZID-1304475182,51,47,38
BZID-1304432697,55,53,26
BZID-1304412920,48,42,29
BZID-1304405332,44,26,13
BZID-1304392624,13,11,3
BZID-1304430848,28,22,14
BZID-1304408115,44,41,32
BZID-1304470456,51,48,23
BZID-1304419508,56,54,44
BZID-1304360042,48,43,22
BZID-1304403053,59,59,46
BZID-1304422970,53,51,29
BZID-1304438456,39,32,11
BZID-1304377326,59,59,41
BZID-1304394475,17,9,2
BZID-1304361492,53,48,41
BZID-1304424967,51,48,39
BZID-1304471971,59,59,39
BZID-1304471205,58,51,41
BZID-1304473098,50,29,25
BZID-1304359192,4,4,1
BZID-1304415698,59,57,50
