businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304437990,2,0,0.000000
BZID-1304432576,6,3,455.000000
BZID-1304431218,6,2,160.000000
BZID-1304414873,2,1,750.000000
BZID-1304435840,2,1,710.000000
BZID-1304477744,7,5,5365.000000
BZID-1304438797,2,1,375.000000
BZID-1304354263,1,0,0.000000
BZID-1304367489,6,1,15.000000
BZID-1304381290,3,3,200.000000
BZID-1304353749,3,2,65.000000
BZID-1304378344,1,0,0.000000
BZID-1304369392,10,10,255.000000
BZID-1304381803,4,3,80.000000
BZID-1304349656,3,0,0.000000
BZID-1304424864,2,1,710.000000
BZID-1304474407,2,1,520.000000
BZID-1304417259,2,2,420.000000
BZID-1304423883,2,2,90.000000
BZID-1304470489,3,0,0.000000
BZID-1304420635,1,1,150.000000
BZID-1304429871,2,2,130.000000
BZID-1304477356,3,3,1450.000000
BZID-1304402120,2,2,185.000000
BZID-1304441686,5,3,580.000000
BZID-1304407465,2,2,350.000000
BZID-1304429660,2,2,230.000000
BZID-1304452976,2,0,0.000000
BZID-1304427118,2,1,50.000000
BZID-1304476263,7,1,520.000000
BZID-1304423825,2,0,0.000000
BZID-1304415653,2,2,235.000000
BZID-1304475090,7,5,1315.000000
BZID-1304446170,6,1,50.000000
BZID-1304458182,3,3,1165.000000
BZID-1304426680,4,2,620.000000
BZID-1304410817,2,0,0.000000
BZID-1304475314,3,1,125.000000
BZID-1304430709,2,1,50.000000
BZID-1304427457,2,2,135.000000
BZID-1304478686,2,0,0.000000
BZID-1304476664,3,1,520.000000
BZID-1304423227,2,2,350.000000
BZID-1304390953,2,1,150.000000
BZID-1304478240,3,1,615.000000
BZID-1304467746,2,0,0.000000
BZID-1304402880,2,2,135.000000
BZID-1304460056,6,4,500.000000
BZID-1304471159,2,0,0.000000
BZID-1304425299,2,1,375.000000
BZID-1304411778,2,1,135.000000
BZID-1304427336,2,1,50.000000
BZID-1304428192,2,2,250.000000
BZID-1304406698,2,2,135.000000
BZID-1304433457,2,0,0.000000
BZID-1304478603,3,3,1760.000000
BZID-1304426563,2,2,130.000000
BZID-1304373024,4,3,330.000000
BZID-1304449407,2,0,0.000000
BZID-1304419282,2,0,0.000000
BZID-1304435255,3,3,265.000000
BZID-1304435168,4,1,80.000000
BZID-1304450774,2,1,80.000000
BZID-1304449720,8,2,85.000000
BZID-1304474667,2,1,80.000000
BZID-1304392950,3,1,200.000000
BZID-1304420701,1,0,0.000000
BZID-1304470127,2,0,0.000000
BZID-1304437436,3,0,0.000000
BZID-1304479281,2,0,0.000000
BZID-1304477879,3,1,200.000000
BZID-1304445490,2,0,0.000000
BZID-1304470456,8,2,95.000000
BZID-1304409708,2,0,0.000000
BZID-1304356933,2,0,0.000000
BZID-1304435516,2,1,135.000000
BZID-1304475609,3,2,185.000000
BZID-1304400787,2,2,205.000000
BZID-1304463318,2,1,80.000000
BZID-1304473922,2,1,80.000000
BZID-1304470718,2,0,0.000000
BZID-1304477326,3,1,80.000000
BZID-1304369358,2,2,360.000000
BZID-1304435912,2,2,425.000000
BZID-1304460128,3,1,135.000000
BZID-1304416819,2,0,0.000000
BZID-1304474472,2,0,0.000000
BZID-1304478908,3,1,5.000000
BZID-1304413549,3,3,265.000000
BZID-1304385795,2,2,205.000000
BZID-1304479982,4,2,215.000000
BZID-1304390572,2,0,0.000000
BZID-1304418564,2,0,0.000000
BZID-1304478015,2,1,80.000000
BZID-1304461934,4,3,340.000000
BZID-1304463693,2,1,80.000000
BZID-1304459422,2,0,0.000000
BZID-1304412699,2,2,455.000000
BZID-1304462895,2,1,80.000000
BZID-1304469312,3,0,0.000000
BZID-1304368504,1,1,15.000000
BZID-1304415175,2,1,80.000000
BZID-1304441314,3,2,160.000000
BZID-1304467914,3,0,0.000000
BZID-1304476373,2,2,160.000000
BZID-1304431223,6,1,80.000000
BZID-1304416280,2,0,0.000000
BZID-1304417656,2,0,0.000000
BZID-1304462915,2,1,135.000000
BZID-1304380358,2,2,300.000000
BZID-1304403538,2,1,80.000000
BZID-1304429975,2,2,1200.000000
BZID-1304417273,2,1,125.000000
BZID-1304420818,8,6,250.000000
BZID-1304405205,3,1,40.000000
BZID-1304424155,3,2,270.000000
BZID-1304410036,2,1,135.000000
BZID-1304476530,2,2,160.000000
BZID-1304430191,2,0,0.000000
BZID-1304449712,5,2,335.000000
BZID-1304448484,2,0,0.000000
BZID-1304432095,3,2,160.000000
BZID-1304464405,2,2,160.000000
BZID-1304460711,4,3,275.000000
BZID-1304468657,3,2,160.000000
BZID-1304424979,2,1,80.000000
BZID-1304413201,2,2,455.000000
BZID-1304438456,3,0,0.000000
BZID-1304465099,4,3,180.000000
BZID-1304447918,2,2,205.000000
BZID-1304423141,3,0,0.000000
BZID-1304415455,2,2,205.000000
BZID-1304409466,2,0,0.000000
BZID-1304386032,2,0,0.000000
BZID-1304419312,2,2,455.000000
BZID-1304426398,1,0,0.000000
BZID-1304406786,6,5,180.000000
BZID-1304460215,5,1,80.000000
BZID-1304399820,2,0,0.000000
BZID-1304471679,2,0,0.000000
BZID-1304471658,4,4,275.000000
BZID-1304405063,2,1,100.000000
BZID-1304438831,2,1,80.000000
BZID-1304480246,4,1,20.000000
BZID-1304458209,2,2,260.000000
BZID-1304446739,5,3,180.000000
BZID-1304423855,2,0,0.000000
BZID-1304456739,3,2,160.000000
BZID-1304409554,2,1,80.000000
BZID-1304411903,2,0,0.000000
BZID-1304468696,2,1,135.000000
BZID-1304462912,2,0,0.000000
BZID-1304400146,5,3,85.000000
BZID-1304434355,2,0,0.000000
BZID-1304479546,2,0,0.000000
BZID-1304461896,3,2,215.000000
BZID-1304393579,5,1,80.000000
BZID-1304474607,2,1,40.000000
BZID-1304433441,1,1,40.000000
BZID-1304476621,2,2,125.000000
BZID-1304467956,1,0,0.000000
BZID-1304456679,2,2,80.000000
BZID-1304469174,2,1,40.000000
BZID-1304429911,3,1,40.000000
BZID-1304440067,1,1,80.000000
BZID-1304476993,2,0,0.000000
BZID-1304458938,3,2,80.000000
BZID-1304407737,2,0,0.000000
BZID-1304469159,8,3,130.000000
BZID-1304402345,1,0,0.000000
BZID-1304462015,2,2,80.000000
BZID-1304450458,2,1,40.000000
BZID-1304394910,2,2,80.000000
BZID-1304415698,2,2,2525.000000
BZID-1304473445,3,0,0.000000
BZID-1304456672,2,0,0.000000
BZID-1304424068,2,0,0.000000
BZID-1304398440,5,2,80.000000
BZID-1304420502,2,1,750.000000
BZID-1304449454,2,1,40.000000
BZID-1304427128,2,0,0.000000
BZID-1304461451,2,2,80.000000
BZID-1304471205,8,7,245.000000
BZID-1304464350,2,2,215.000000
BZID-1304392257,2,1,435.000000
BZID-1304467386,4,2,85.000000
BZID-1304449357,2,1,45.000000
BZID-1304394193,3,2,80.000000
BZID-1304420782,4,2,125.000000
BZID-1304431869,3,2,80.000000
BZID-1304431733,2,0,0.000000
BZID-1304459958,2,0,0.000000
BZID-1304470755,2,0,0.000000
BZID-1304454659,2,2,80.000000
BZID-1304424054,2,2,125.000000
BZID-1304454370,3,0,0.000000
BZID-1304462745,2,2,160.000000
BZID-1304449640,2,1,40.000000
BZID-1304422150,2,0,0.000000
BZID-1304371100,2,2,65.000000
BZID-1304444914,2,1,40.000000
BZID-1304470642,4,2,165.000000
BZID-1304434009,4,1,40.000000
BZID-1304461506,2,0,0.000000
BZID-1304406606,4,2,80.000000
BZID-1304471697,3,2,175.000000
BZID-1304407921,2,0,0.000000
BZID-1304464021,3,2,80.000000
BZID-1304452903,3,3,95.000000
BZID-1304456949,8,2,205.000000
BZID-1304466046,4,1,80.000000
BZID-1304431680,7,6,220.000000
BZID-1304457300,2,0,0.000000
BZID-1304466651,2,0,0.000000
BZID-1304464250,4,1,15.000000
BZID-1304392486,2,1,2000.000000
BZID-1304456288,3,0,0.000000
BZID-1304460803,3,0,0.000000
BZID-1304407794,7,2,215.000000
BZID-1304417773,2,2,1185.000000
BZID-1304433896,3,1,85.000000
BZID-1304462680,2,1,40.000000
BZID-1304457286,3,0,0.000000
BZID-1304446899,2,1,40.000000
BZID-1304411925,2,2,1020.000000
BZID-1304428822,2,0,0.000000
BZID-1304463477,3,1,40.000000
BZID-1304438571,1,0,0.000000
BZID-1304472424,2,0,0.000000
BZID-1304461149,2,1,270.000000
BZID-1304461163,2,2,3155.000000
BZID-1304475330,2,1,40.000000
BZID-1304433915,4,2,125.000000
BZID-1304466605,3,1,40.000000
BZID-1304408290,2,0,0.000000
BZID-1304449603,6,5,105.000000
BZID-1304441059,2,0,0.000000
BZID-1304438791,2,0,0.000000
BZID-1304470450,4,1,40.000000
BZID-1304449911,5,4,150.000000
BZID-1304456654,2,0,0.000000
BZID-1304479382,2,1,615.000000
BZID-1304460746,2,0,0.000000
BZID-1304429727,2,0,0.000000
BZID-1304377060,2,2,495.000000
BZID-1304436523,2,0,0.000000
BZID-1304422956,2,2,1365.000000
BZID-1304461444,6,6,5970.000000
BZID-1304423082,2,2,1460.000000
BZID-1304421143,2,1,710.000000
BZID-1304466644,9,6,795.000000
BZID-1304423069,2,2,2710.000000
BZID-1304421622,2,0,0.000000
BZID-1304438219,2,1,615.000000
BZID-1304426458,2,2,90.000000
BZID-1304465929,4,1,50.000000
BZID-1304386112,2,2,455.000000
BZID-1304442773,9,6,665.000000
BZID-1304382748,2,1,80.000000
BZID-1304426062,2,2,130.000000
BZID-1304476814,3,0,0.000000
BZID-1304430711,2,2,285.000000
BZID-1304462153,3,0,0.000000
BZID-1304415680,2,2,230.000000
BZID-1304422361,2,2,130.000000
BZID-1304429706,2,2,135.000000
BZID-1304420068,2,1,150.000000
BZID-1304427772,2,2,135.000000
BZID-1304445832,3,1,520.000000
BZID-1304412087,2,2,420.000000
BZID-1304390745,1,0,0.000000
BZID-1304420204,3,1,50.000000
BZID-1304426742,2,1,50.000000
BZID-1304471859,4,1,5.000000
BZID-1304463676,2,1,925.000000
BZID-1304475801,3,3,1355.000000
