businessid,total_visits
BZID-1304448486,2
BZID-1304395509,4
BZID-1304363065,1
BZID-1304367931,1
BZID-1304375348,1
BZID-1304401866,4
BZID-1304463328,1
BZID-1304373880,1
BZID-1304449561,2
BZID-1304448642,1
BZID-1304421026,3
BZID-1304463178,4
BZID-1304394433,1
BZID-1304448318,1
BZID-1304402013,2
BZID-1304372697,1
BZID-1304375106,3
BZID-1304369733,1
BZID-1304475034,1
BZID-1304394459,1
BZID-1304408585,1
BZID-1304387166,1
BZID-1304462833,2
BZID-1304406835,1
BZID-1304403642,1
BZID-1304392323,5
BZID-1304461884,1
BZID-1304436141,1
BZID-1304408888,7
BZID-1304423891,1
BZID-1304356764,1
BZID-1304409194,2
BZID-1304418832,3
BZID-1304432864,1
BZID-1304369516,1
BZID-1304388775,11
BZID-1304377585,1
BZID-1304464108,1
BZID-1304385141,1
BZID-1304458340,2
BZID-1304460816,2
BZID-1304409462,1
BZID-1304393900,1
BZID-1304387215,2
BZID-1304380237,1
BZID-1304438566,1
BZID-1304449069,2
BZID-1304464218,2
BZID-1304471657,1
BZID-1304444615,2
BZID-1304449077,1
BZID-1304418280,2
BZID-1304477799,2
BZID-1304404948,1
BZID-1304364141,1
BZID-1304368396,1
BZID-1304477610,1
BZID-1304418945,1
BZID-1304394336,4
BZID-1304429444,1
BZID-1304478219,2
BZID-1304440288,1
BZID-1304363143,1
BZID-1304410938,1
BZID-1304399807,2
BZID-1304453049,1
BZID-1304383003,1
BZID-1304364317,1
BZID-1304420173,2
BZID-1304419289,1
BZID-1304473033,1
BZID-1304450730,1
BZID-1304410810,1
BZID-1304410067,1
BZID-1304458513,1
BZID-1304370740,1
BZID-1304375728,2
BZID-1304350299,2
BZID-1304404543,2
BZID-1304407394,1
BZID-1304409061,2
BZID-1304419620,1
BZID-1304377837,1
BZID-1304413993,1
BZID-1304459108,1
BZID-1304381398,2
BZID-1304458269,1
BZID-1304396916,2
BZID-1304414938,1
BZID-1304380958,1
BZID-1304410578,1
BZID-1304419048,1
BZID-1304392454,1
BZID-1304358737,1
BZID-1304389005,1
BZID-1304422802,1
BZID-1304423934,1
BZID-1304416797,5
BZID-1304362192,1
BZID-1304379297,1
BZID-1304430149,2
BZID-1304387007,1
BZID-1304435354,2
BZID-1304439233,1
BZID-1304422679,1
BZID-1304406550,2
BZID-1304400932,1
BZID-1304381490,3
BZID-1304415474,2
BZID-1304417638,2
BZID-1304437957,1
BZID-1304379390,2
BZID-1304416366,3
BZID-1304428187,1
BZID-1304457078,1
BZID-1304394423,7
BZID-1304408089,2
BZID-1304422254,1
BZID-1304427260,2
BZID-1304414834,1
BZID-1304420753,1
BZID-1304357189,1
BZID-1304428842,2
BZID-1304439585,1
BZID-1304472109,1
BZID-1304374002,2
BZID-1304408427,1
BZID-1304363144,3
BZID-1304458050,1
BZID-1304460962,1
BZID-1304372372,1
BZID-1304416352,2
BZID-1304380573,2
BZID-1304360165,1
BZID-1304398449,2
BZID-1304385513,1
BZID-1304429277,2
BZID-1304406697,1
BZID-1304379782,1
BZID-1304359111,1
BZID-1304373376,1
BZID-1304406188,1
BZID-1304380115,3
BZID-1304376157,1
BZID-1304392372,6
BZID-1304420518,1
BZID-1304474011,1
BZID-1304463517,1
BZID-1304416216,2
BZID-1304387150,1
BZID-1304368527,1
BZID-1304476015,1
BZID-1304412427,4
BZID-1304429215,2
BZID-1304426618,2
BZID-1304404908,2
BZID-1304360162,1
BZID-1304415511,1
BZID-1304379168,3
BZID-1304423008,1
BZID-1304386408,1
BZID-1304386990,1
BZID-1304431025,1
BZID-1304461725,1
BZID-1304423688,1
BZID-1304375635,1
BZID-1304422895,3
BZID-1304381212,1
BZID-1304429117,2
BZID-1304412442,4
BZID-1304449044,1
BZID-1304388800,1
BZID-1304423003,1
BZID-1304362796,1
BZID-1304391972,1
BZID-1304426142,1
BZID-1304399870,2
BZID-1304440899,1
BZID-1304372179,1
BZID-1304448034,1
BZID-1304460205,1
BZID-1304361841,1
BZID-1304429088,1
BZID-1304415723,1
BZID-1304424047,3
BZID-1304429684,1
BZID-1304358175,1
BZID-1304438297,1
BZID-1304385217,1
BZID-1304448759,3
BZID-1304399567,1
BZID-1304374587,1
BZID-1304407409,2
BZID-1304449532,1
BZID-1304362603,1
BZID-1304467279,4
BZID-1304425862,2
BZID-1304392792,2
BZID-1304461867,2
BZID-1304399908,1
BZID-1304380555,1
BZID-1304411303,1
BZID-1304390157,1
BZID-1304430234,1
BZID-1304350364,2
BZID-1304385059,1
BZID-1304393945,1
BZID-1304474238,2
BZID-1304442533,1
BZID-1304399691,2
BZID-1304430201,1
BZID-1304445945,2
BZID-1304378131,3
BZID-1304431186,2
BZID-1304379516,2
BZID-1304407279,2
BZID-1304431785,2
BZID-1304418065,2
BZID-1304389152,2
BZID-1304425236,2
BZID-1304416135,3
BZID-1304368663,1
BZID-1304474970,1
BZID-1304360770,1
BZID-1304351828,1
BZID-1304445753,1
BZID-1304446633,1
BZID-1304428308,1
BZID-1304415027,1
BZID-1304373891,1
BZID-1304369871,2
BZID-1304436907,2
BZID-1304476357,2
BZID-1304412097,2
BZID-1304413035,2
BZID-1304418901,2
BZID-1304360811,2
BZID-1304424835,2
BZID-1304379835,2
BZID-1304428711,2
BZID-1304415374,1
BZID-1304417617,1
BZID-1304471364,1
BZID-1304400215,2
BZID-1304388806,1
BZID-1304429138,2
BZID-1304465552,1
BZID-1304424230,1
BZID-1304414739,1
BZID-1304350715,1
BZID-1304421051,1
BZID-1304375979,1
BZID-1304407941,1
BZID-1304386126,1
BZID-1304382431,2
BZID-1304408611,2
BZID-1304476046,1
BZID-1304400516,1
BZID-1304382896,1
BZID-1304471072,1
BZID-1304414007,1
BZID-1304401168,2
BZID-1304422657,1
BZID-1304366547,1
BZID-1304462931,4
BZID-1304429845,2
BZID-1304460016,2
BZID-1304434096,1
BZID-1304417028,27
BZID-1304424944,2
BZID-1304384078,1
BZID-1304428784,1
BZID-1304437969,1
BZID-1304472189,1
BZID-1304380444,1
BZID-1304388938,1
BZID-1304417745,3
BZID-1304361966,1
BZID-1304399062,2
BZID-1304473902,1
BZID-1304462361,1
BZID-1304415675,3
BZID-1304426807,2
BZID-1304434672,1
BZID-1304479320,1
BZID-1304382087,1
BZID-1304451151,1
BZID-1304438264,1
BZID-1304375233,1
BZID-1304386407,1
BZID-1304419470,2
BZID-1304411059,4
BZID-1304436528,1
BZID-1304408619,1
BZID-1304396448,3
BZID-1304401916,1
BZID-1304369453,2
